Sample:	'SLABO1-5-5-320
File name:	BlankSample.FD3
Run Date:	17:21:04, 08/15/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/285.0	62.92
2	205.0/325.0	186.0
3	205.0/340.0	142.5
4	205.0/360.0	89.40
5	205.0/370.0	100.6
6	205.0/395.0	99.28
7	205.0/470.0	49.39
8	205.0/480.0	61.62
9	205.0/500.0	63.01
10	205.0/515.0	46.72
11	205.0/545.0	47.19
12	210.0/320.0	194.3
13	210.0/335.0	140.1
14	210.0/390.0	77.96
15	210.0/435.0	118.1
16	210.0/455.0	70.82
17	210.0/465.0	90.29
18	210.0/495.0	50.25
19	215.0/295.0	79.67
20	215.0/315.0	131.8
21	215.0/385.0	104.9
22	215.0/475.0	45.42
23	215.0/515.0	32.36
24	215.0/535.0	48.77
25	220.0/305.0	152.0
26	220.0/330.0	172.7
27	220.0/370.0	69.41
28	220.0/395.0	77.25
29	220.0/415.0	60.42
30	220.0/425.0	79.01
31	220.0/460.0	63.21
32	220.0/490.0	44.48
33	220.0/530.0	25.24
34	225.0/290.0	81.92
35	225.0/325.0	205.7
36	225.0/340.0	173.8
37	225.0/355.0	99.14
38	225.0/380.0	98.53
39	225.0/470.0	42.77
40	225.0/480.0	33.54
41	225.0/520.0	32.59
42	230.0/320.0	150.1
43	230.0/335.0	146.3
44	230.0/375.0	65.69
45	230.0/395.0	58.20
46	230.0/430.0	68.83
47	230.0/490.0	23.58
48	230.0/535.0	13.09
49	235.0/300.0	118.4
50	235.0/345.0	121.1
51	235.0/365.0	82.89
52	235.0/445.0	37.78
53	235.0/475.0	38.94
54	235.0/495.0	30.48
55	235.0/520.0	18.77
56	240.0/385.0	45.64
57	240.0/405.0	63.89
58	240.0/515.0	17.88
59	240.0/530.0	8.161
60	240.0/540.0	9.657
61	245.0/330.0	62.03
62	245.0/350.0	64.04
63	245.0/375.0	70.81
64	245.0/410.0	53.01
65	245.0/460.0	38.96
66	245.0/510.0	13.09
67	245.0/525.0	15.11
68	250.0/290.0	186.6
69	250.0/345.0	63.14
70	250.0/380.0	59.38
71	250.0/400.0	42.90
72	250.0/420.0	44.74
73	250.0/435.0	42.34
74	250.0/445.0	42.81
75	250.0/485.0	31.72
76	250.0/520.0	19.18
77	250.0/540.0	8.717
78	255.0/370.0	61.09
79	255.0/395.0	45.23
80	255.0/410.0	50.18
81	255.0/430.0	41.84
82	255.0/440.0	44.49
83	255.0/455.0	49.68
84	255.0/495.0	29.14
85	255.0/535.0	16.79
86	255.0/545.0	12.12
87	260.0/285.0	201.6
88	260.0/425.0	44.44
89	265.0/290.0	306.6
90	265.0/385.0	60.22
91	265.0/400.0	47.12
92	265.0/410.0	41.76
93	265.0/435.0	39.67
94	265.0/445.0	37.68
95	265.0/465.0	32.10
96	265.0/495.0	20.90
97	265.0/525.0	21.18
98	270.0/295.0	469.1
99	270.0/365.0	70.93
100	270.0/380.0	61.06
101	270.0/415.0	41.17
102	270.0/440.0	41.43
103	270.0/480.0	31.26
104	270.0/500.0	23.21
105	275.0/305.0	588.0
106	275.0/345.0	98.84
107	275.0/390.0	58.90
108	275.0/485.0	20.76
109	275.0/515.0	11.49
110	280.0/310.0	747.2
111	280.0/340.0	102.5
112	280.0/355.0	88.18
113	280.0/400.0	42.20
114	280.0/420.0	40.74
115	280.0/445.0	30.06
116	280.0/455.0	25.39
117	280.0/465.0	32.18
118	280.0/490.0	19.70
119	280.0/500.0	20.36
120	280.0/520.0	16.25
121	280.0/530.0	13.57
122	285.0/315.0	773.1
123	285.0/415.0	39.16
124	285.0/430.0	35.14
125	290.0/320.0	686.9
126	290.0/440.0	26.88
127	290.0/480.0	14.53
128	290.0/545.0	8.238
129	295.0/325.0	533.3
130	295.0/375.0	43.05
131	295.0/400.0	41.02
132	295.0/455.0	22.48
133	295.0/490.0	13.60
134	295.0/540.0	9.246
135	300.0/335.0	478.0
136	300.0/425.0	27.29
137	305.0/340.0	466.9
138	305.0/470.0	14.74
139	305.0/485.0	13.51
140	305.0/500.0	9.358
141	310.0/345.0	455.4
142	310.0/405.0	31.41
143	310.0/420.0	25.44
144	310.0/475.0	12.02
145	310.0/505.0	8.941
146	310.0/515.0	8.753
147	310.0/525.0	8.063
148	310.0/535.0	8.214
149	315.0/350.0	396.2
150	315.0/440.0	20.48
151	315.0/545.0	5.101
152	320.0/355.0	318.4
153	320.0/385.0	29.38
154	320.0/415.0	26.14
155	320.0/430.0	21.10
156	320.0/450.0	17.22
157	320.0/485.0	12.78
158	320.0/520.0	6.502
159	320.0/535.0	5.267
160	325.0/365.0	325.4
161	330.0/370.0	328.1
162	330.0/400.0	23.34
163	330.0/425.0	21.81
164	330.0/465.0	13.16
165	330.0/505.0	7.050
166	330.0/540.0	5.384
167	335.0/375.0	289.7
168	335.0/420.0	19.34
169	335.0/470.0	11.38
170	340.0/385.0	237.3
171	340.0/435.0	17.19
172	340.0/455.0	15.84
173	340.0/510.0	6.379
174	345.0/390.0	250.8
175	345.0/440.0	17.35
176	345.0/470.0	11.28
177	345.0/535.0	4.545
178	350.0/395.0	224.2
179	350.0/460.0	12.53
180	350.0/545.0	4.622
181	355.0/400.0	206.5
182	355.0/445.0	13.64
183	360.0/410.0	196.0
184	360.0/460.0	11.78
185	360.0/500.0	6.891
186	360.0/515.0	5.995
187	365.0/415.0	179.7
188	365.0/445.0	13.09
189	365.0/495.0	6.791
190	365.0/505.0	6.248
191	370.0/420.0	152.2
192	370.0/535.0	5.026
193	370.0/545.0	4.923
194	375.0/430.0	126.1
195	375.0/480.0	7.790
196	375.0/510.0	5.075
197	380.0/310.0	2.335
198	380.0/435.0	120.8
199	385.0/440.0	107.4
200	385.0/490.0	5.789
201	385.0/505.0	4.457
202	390.0/445.0	87.08
203	395.0/455.0	82.22
204	395.0/520.0	3.543
205	400.0/460.0	72.10
206	405.0/320.0	2.217
207	405.0/435.0	5.733
208	405.0/465.0	58.96
209	410.0/330.0	2.301
210	410.0/475.0	52.10
211	415.0/480.0	46.89
212	415.0/525.0	3.426
213	420.0/325.0	2.230
214	420.0/485.0	41.68
215	420.0/530.0	3.201
216	425.0/495.0	35.89
217	430.0/500.0	31.53
218	435.0/315.0	1.589
219	440.0/515.0	27.01
220	445.0/520.0	22.99

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	10.21	30.91	-5.558	-26.71	4.076	5.457	0.038	-8.193	36.62	19.75	63.86	95.74	58.98	19.63	4.607	174.5	 1488	 1163	60.94	2.864	2.403	2.445	1.657	0.909	2.038	-0.011	1.529	0.473	0.972	-0.120	0.099	0.902	0.224	0.193	1.386	0.888	0.936	0.215	1.061	0.333	0.150	0.280	0.413	0.036	0.924	0.350	0.201	0.288	0.930	0.265	0.755
285.0	46.87	62.92	58.17	11.61	35.36	8.697	13.40	29.56	31.36	107.0	109.2	135.9	201.6	117.9	28.55	18.94	427.9	 3828	 3721	378.6	5.273	5.497	3.764	2.770	1.875	1.463	1.930	0.488	1.003	0.055	0.963	1.341	0.220	0.082	1.284	0.672	0.626	0.622	0.352	0.853	0.268	0.429	0.687	0.459	0.591	0.242	-0.145	0.833	0.323	0.415	0.862
290.0	20.63	48.67	26.04	53.47	40.58	81.92	26.17	31.82	43.94	122.5	186.6	159.8	190.7	306.6	110.1	38.35	55.40	959.4	 7018	 5831	497.8	8.935	4.407	5.800	3.241	2.924	1.160	2.005	0.987	1.311	0.636	1.253	0.734	1.197	0.729	0.608	0.377	0.595	-0.166	0.129	0.924	0.754	0.690	0.632	0.886	0.522	-0.014	0.296	0.855	0.422	0.376
295.0	59.60	20.18	55.18	79.67	61.79	66.49	73.82	64.61	79.84	111.8	163.5	141.5	99.33	278.1	469.1	137.1	48.48	99.05	 1551	 9693	 7791	654.4	6.404	6.826	4.510	2.718	1.828	0.917	1.574	1.586	0.850	1.179	0.937	0.282	0.574	0.290	0.332	-0.137	0.373	0.658	0.690	0.807	0.644	0.898	0.280	0.680	0.647	0.626	0.752	0.136	1.026
300.0	141.9	59.72	43.67	68.65	58.36	87.76	87.56	118.4	70.56	111.3	150.2	139.6	97.37	93.80	434.1	477.4	115.5	57.05	145.4	 1918	9999.9	 9295	713.0	9.483	5.642	4.597	4.420	2.009	1.348	1.132	1.236	1.943	1.086	-0.001	1.164	1.067	0.630	0.706	0.500	1.158	0.709	0.733	0.830	0.851	0.803	0.277	0.733	0.335	1.114	0.718	0.223
305.0	124.9	39.98	84.51	76.95	152.0	94.88	91.14	114.5	91.61	98.51	100.3	91.09	71.12	70.11	127.9	588.0	467.9	93.57	55.23	158.9	 1999	9999.9	 9938	764.0	8.749	5.687	4.786	2.046	2.496	2.095	2.755	1.404	1.567	1.194	0.482	0.708	1.589	1.110	0.772	0.812	0.643	0.936	0.673	0.528	1.163	0.821	0.470	0.626	0.769	1.057	0.110
310.0	100.2	109.4	58.41	98.72	105.7	116.0	82.04	94.04	68.47	84.13	79.43	71.11	73.68	88.03	83.67	201.0	747.2	366.1	78.83	47.13	154.5	 2068	9999.9	 9941	754.7	9.021	6.041	6.549	3.569	3.127	3.135	2.047	0.715	2.173	1.315	0.900	2.335	2.024	0.684	1.030	1.307	0.878	0.970	0.934	0.737	1.039	0.216	0.789	0.258	1.053	1.231
315.0	172.7	126.2	98.78	131.8	62.42	129.2	103.4	66.76	79.66	39.82	61.18	63.10	76.37	76.66	98.10	111.6	285.9	773.1	232.6	46.08	43.66	160.6	 2326	9999.9	 9829	652.5	9.770	8.878	4.897	2.474	2.224	1.793	0.824	2.460	1.400	0.128	1.346	1.311	0.431	0.853	0.772	0.546	0.285	0.960	0.401	0.160	0.956	1.589	0.579	0.348	0.898
320.0	88.00	120.6	194.3	78.93	76.92	149.7	150.1	119.9	53.78	58.36	33.67	61.26	73.31	76.86	86.30	94.61	108.2	374.6	686.9	169.8	34.45	34.92	172.0	 2213	9999.9	 9479	630.8	7.923	9.442	3.747	2.583	2.517	1.300	1.798	1.518	1.758	1.179	1.685	1.305	0.837	1.073	2.217	0.475	0.817	0.786	0.451	0.303	1.056	0.245	0.488	1.719
325.0	171.9	186.0	115.2	69.06	130.1	205.7	144.3	130.7	56.47	34.78	39.93	40.81	62.25	85.00	91.50	112.3	115.0	124.2	433.5	533.3	91.39	28.35	35.77	159.5	 2107	9999.9	 9047	657.4	8.872	5.633	3.817	4.538	2.164	1.579	1.930	1.640	0.946	1.489	1.662	1.046	1.012	0.986	0.231	0.407	2.230	1.268	0.925	0.274	0.921	1.068	0.607
330.0	94.10	81.98	74.09	161.7	172.7	121.6	138.4	100.6	48.00	62.03	58.37	33.12	68.24	77.55	99.38	101.8	96.77	113.7	123.9	442.7	420.1	61.33	25.74	37.96	155.5	 1971	9999.9	 9157	619.7	8.044	5.586	5.045	3.438	1.667	2.565	2.587	1.305	2.075	1.006	0.883	1.438	0.341	2.301	1.187	1.205	0.963	1.398	1.137	1.031	1.449	0.771
335.0	68.89	73.17	140.1	93.56	90.97	132.3	146.3	81.25	50.26	49.09	38.51	41.23	73.25	76.21	88.67	95.84	90.87	92.20	78.32	126.7	478.0	300.3	36.44	26.13	29.57	145.8	 2011	9999.9	 8450	603.5	6.907	5.175	3.742	3.002	2.676	2.174	2.018	0.943	1.303	1.112	0.728	0.482	0.945	0.950	0.862	0.689	0.597	0.792	0.714	1.176	1.156
340.0	95.86	142.5	92.98	67.98	106.8	173.8	111.6	89.19	55.84	49.82	36.77	38.10	53.44	71.91	94.21	93.32	102.5	94.61	71.47	50.68	137.2	466.9	206.9	30.30	22.54	29.75	144.9	 1807	9999.9	 8200	603.4	8.103	7.327	2.825	2.620	1.889	2.761	2.011	1.220	0.977	1.383	0.578	1.121	1.463	0.464	0.793	1.045	1.139	1.135	0.914	1.068
345.0	38.80	39.09	81.01	77.53	53.90	114.1	81.31	121.1	60.13	37.79	63.14	45.31	69.53	71.59	76.75	98.84	90.99	80.19	63.92	55.48	45.76	172.0	455.4	137.8	22.55	21.26	24.19	130.5	 1813	9999.9	 7977	566.7	8.940	4.145	4.394	2.488	2.288	1.624	2.313	1.218	1.780	0.944	1.032	1.713	0.546	0.797	0.522	1.063	1.094	1.275	1.021
350.0	92.59	50.58	76.71	58.83	68.50	73.00	85.89	68.91	50.18	64.04	50.11	62.14	65.79	59.99	77.88	72.01	84.62	77.33	61.56	57.13	40.45	50.32	233.0	396.2	87.12	20.34	16.19	21.62	131.0	 1698	9999.9	 7573	564.6	8.750	4.975	3.508	3.627	2.253	1.610	1.560	0.712	1.684	0.820	1.139	1.372	0.941	0.696	0.704	1.296	1.044	0.815
355.0	55.25	51.04	67.69	68.79	79.43	99.14	63.98	60.99	59.45	38.12	52.90	53.02	51.86	59.24	60.47	70.87	88.18	75.33	61.14	48.94	33.83	31.20	51.11	284.3	318.4	53.94	15.19	17.92	23.36	120.8	 1645	 9531	 7294	556.7	7.062	5.180	3.507	2.283	1.835	1.873	1.754	1.332	0.963	1.327	0.721	1.152	0.432	0.649	1.195	0.633	1.268
360.0	48.88	89.40	76.09	54.37	73.97	88.87	76.85	77.67	64.60	52.34	44.22	40.14	46.70	48.29	63.66	63.72	76.11	66.57	62.99	51.10	40.85	29.51	25.40	72.36	300.1	236.2	31.37	15.04	16.47	23.02	120.4	 1665	 9461	 6985	490.3	7.301	3.268	3.074	2.820	2.230	1.724	1.273	0.856	1.755	0.615	0.213	0.637	0.183	0.655	0.738	0.816
365.0	49.08	58.96	48.68	50.74	39.97	60.96	70.60	82.89	53.66	40.94	45.94	44.02	47.79	48.12	70.93	59.18	75.56	59.58	60.05	49.04	36.34	31.11	24.07	30.17	87.52	325.4	174.0	24.33	12.35	14.83	23.08	120.6	 1579	 9192	 6906	499.3	6.772	4.579	3.534	2.533	1.620	2.465	0.748	0.510	0.970	0.561	1.091	0.936	1.019	1.041	1.152
370.0	65.85	100.6	51.79	34.68	69.41	61.22	47.88	54.54	54.21	49.67	38.41	61.09	46.89	46.91	57.16	55.06	72.78	60.79	53.05	39.96	33.38	29.03	27.53	21.84	31.65	134.2	328.1	106.8	14.17	11.84	14.43	20.51	115.3	 1584	 8856	 6271	429.8	6.856	5.168	2.517	2.539	1.774	1.775	0.804	0.729	0.933	1.480	0.464	1.602	1.018	0.725
375.0	101.9	60.52	36.33	68.09	62.15	39.88	65.69	51.22	43.47	70.81	42.37	56.74	46.25	48.55	56.00	55.06	68.39	53.44	36.75	43.05	42.05	32.96	32.78	30.86	24.60	33.35	175.2	289.7	71.55	13.87	14.49	14.26	17.47	111.7	 1492	 8171	 5904	416.9	7.347	4.069	2.093	1.762	2.107	1.425	1.291	1.236	0.980	1.342	0.928	0.892	0.652
380.0	70.45	20.92	41.72	54.96	67.11	98.53	42.69	36.69	32.41	55.01	59.38	45.94	30.95	49.28	61.06	51.68	55.26	47.35	49.32	37.32	35.05	32.04	27.60	26.23	22.63	22.90	46.12	201.6	230.8	40.77	12.57	9.312	11.43	15.01	103.5	 1431	 7570	 5401	355.2	6.021	4.676	2.474	2.990	1.816	1.653	0.979	1.444	1.365	0.637	1.391	1.015
385.0	53.32	66.01	62.11	104.9	54.94	49.78	43.20	38.10	45.64	43.82	32.14	31.69	40.02	60.22	47.88	56.76	51.32	51.60	43.09	36.39	33.94	31.04	27.08	26.70	29.38	18.84	20.48	57.79	237.3	161.9	28.74	11.21	10.99	9.991	14.64	101.6	 1234	 7034	 4927	327.6	5.039	5.268	2.836	1.165	1.969	1.111	1.307	0.363	0.616	0.851	0.785
390.0	38.02	39.78	77.96	27.89	54.57	19.32	51.27	30.65	39.37	27.87	34.46	35.14	40.08	46.66	48.01	58.90	50.63	53.46	43.27	40.21	34.16	29.44	27.58	28.29	22.88	21.71	23.94	24.29	80.46	250.8	114.9	15.96	10.81	10.83	10.42	16.19	90.20	 1186	 6450	 4363	313.8	5.125	3.060	3.393	2.343	1.377	1.221	0.769	0.849	0.938	1.371
395.0	85.63	99.28	19.11	39.58	77.25	44.32	58.20	39.67	33.54	34.19	38.66	45.23	33.36	46.11	35.75	40.57	35.82	51.32	34.90	36.94	31.69	30.43	30.35	21.97	25.98	22.15	21.05	21.77	26.18	113.4	224.2	76.97	9.086	11.26	10.54	9.017	15.67	84.88	 1117	 5967	 4145	276.1	4.775	4.065	3.831	2.469	1.434	1.642	1.643	1.041	1.169
400.0	32.68	96.32	42.47	58.35	34.87	42.61	52.92	36.74	41.72	32.49	42.90	27.38	39.74	47.12	31.19	41.96	42.20	40.94	35.39	41.02	33.23	28.41	28.33	27.31	26.45	19.64	23.34	17.68	16.84	30.87	142.6	206.5	46.39	11.47	9.398	10.38	8.269	13.97	81.56	 1058	 5336	 3674	225.3	4.514	3.278	2.743	1.653	2.326	1.854	1.387	1.631
405.0	44.27	24.77	39.09	38.72	33.24	3.980	37.01	34.16	63.89	28.54	36.88	44.91	43.07	35.84	32.03	40.47	31.71	42.90	36.47	34.65	29.81	24.33	31.41	26.32	22.70	22.97	18.88	17.61	18.44	18.60	41.45	168.3	145.0	30.43	8.108	9.836	10.12	9.495	13.10	76.62	901.8	 4957	 3272	189.2	5.698	3.644	1.362	1.904	1.719	1.038	1.352
410.0	40.69	63.77	31.83	29.83	47.64	43.20	25.79	36.70	37.09	53.01	31.52	50.18	35.07	41.76	32.51	39.34	38.21	28.89	34.09	28.59	28.33	27.81	27.00	22.70	25.45	19.40	20.66	15.86	16.30	16.54	21.03	56.68	196.0	104.9	16.93	8.961	10.91	6.416	8.784	12.08	64.49	874.2	 4689	 3081	173.3	5.284	2.698	3.372	2.173	1.396	0.995
415.0	0.567	12.87	32.18	59.42	60.42	27.74	48.84	45.38	26.29	26.16	38.44	43.03	42.02	38.51	41.17	40.48	33.91	39.16	30.29	28.48	27.98	28.75	23.11	23.11	26.14	19.63	19.46	15.60	17.88	14.16	16.41	18.68	79.29	179.7	73.82	11.10	8.490	6.872	8.415	6.959	10.75	61.52	845.1	 4389	 2764	178.8	4.244	3.859	1.874	1.740	1.591
