Sample:	'SLABO1-5-5-320
File name:	
Run Date:	16:13:40, 08/15/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/335.0	657.6
2	205.0/440.0	356.1
3	205.0/480.0	193.3
4	205.0/535.0	73.68
5	210.0/345.0	622.7
6	210.0/400.0	452.4
7	210.0/465.0	300.2
8	210.0/490.0	198.9
9	215.0/365.0	441.7
10	215.0/415.0	426.0
11	215.0/455.0	352.1
12	215.0/475.0	270.4
13	215.0/495.0	182.4
14	215.0/520.0	84.42
15	215.0/535.0	81.86
16	220.0/380.0	482.3
17	220.0/400.0	466.7
18	220.0/470.0	289.3
19	220.0/485.0	207.4
20	220.0/500.0	194.0
21	225.0/315.0	822.4
22	225.0/325.0	779.9
23	225.0/355.0	600.9
24	225.0/385.0	472.2
25	225.0/410.0	476.1
26	225.0/430.0	437.7
27	225.0/545.0	84.33
28	230.0/350.0	581.6
29	230.0/405.0	505.5
30	230.0/495.0	201.7
31	230.0/510.0	172.3
32	235.0/395.0	484.8
33	235.0/435.0	446.0
34	235.0/505.0	172.5
35	235.0/525.0	127.4
36	235.0/540.0	93.31
37	240.0/380.0	427.7
38	240.0/415.0	491.4
39	245.0/390.0	434.7
40	245.0/450.0	401.6
41	245.0/505.0	176.5
42	245.0/540.0	81.52
43	250.0/545.0	89.87
44	260.0/285.0	190.1
45	260.0/370.0	379.9
46	260.0/395.0	386.2
47	260.0/425.0	441.4
48	265.0/385.0	392.8
49	265.0/420.0	445.1
50	270.0/390.0	405.5
51	270.0/415.0	434.3
52	270.0/430.0	442.0
53	270.0/500.0	215.6
54	275.0/305.0	 1149
55	275.0/380.0	434.3
56	275.0/405.0	432.9
57	275.0/420.0	445.7
58	275.0/440.0	450.1
59	280.0/310.0	 1241
60	280.0/410.0	444.3
61	280.0/435.0	426.5
62	280.0/490.0	237.9
63	285.0/315.0	 1096
64	285.0/385.0	412.7
65	300.0/335.0	545.9
66	300.0/400.0	397.9
67	300.0/450.0	295.7
68	305.0/340.0	516.7
69	310.0/345.0	489.7
70	315.0/350.0	445.7
71	315.0/395.0	391.5
72	315.0/410.0	392.8
73	315.0/420.0	394.4
74	320.0/360.0	433.4
75	320.0/405.0	392.9
76	320.0/425.0	391.6
77	320.0/445.0	327.5
78	325.0/365.0	470.8
79	325.0/410.0	390.9
80	330.0/370.0	493.0
81	330.0/415.0	381.0
82	330.0/435.0	366.2
83	335.0/375.0	452.9
84	340.0/385.0	443.8
85	345.0/390.0	433.8
86	350.0/295.0	1.761
87	350.0/395.0	421.3
88	355.0/405.0	372.4
89	360.0/300.0	2.178
90	360.0/410.0	383.5
91	365.0/315.0	2.671
92	365.0/415.0	369.9
93	370.0/420.0	339.6
94	375.0/315.0	2.150
95	375.0/430.0	302.0
96	380.0/290.0	1.813
97	380.0/435.0	273.1
98	385.0/440.0	229.2
99	390.0/450.0	188.1
100	395.0/295.0	2.359
101	395.0/455.0	177.5
102	400.0/360.0	3.484
103	400.0/460.0	140.1
104	410.0/310.0	2.635
105	410.0/345.0	2.264
106	410.0/475.0	113.5
107	415.0/485.0	89.96
108	420.0/490.0	77.47
109	425.0/495.0	70.56
110	430.0/315.0	2.470
111	430.0/500.0	62.36
112	435.0/345.0	2.320
113	435.0/365.0	2.516
114	435.0/510.0	54.46
115	440.0/515.0	47.13
116	445.0/335.0	3.171
117	445.0/525.0	39.43

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	6.482	-3.755	7.491	-3.616	27.73	14.88	0.823	-2.055	7.868	20.23	42.44	97.89	60.36	15.06	8.708	157.5	 1338	981.8	42.74	2.932	5.351	2.504	2.521	2.217	2.034	1.919	0.769	0.006	0.487	0.324	0.286	0.062	1.719	0.935	0.137	0.358	1.295	0.368	0.614	0.025	0.362	0.693	0.239	0.473	0.389	0.363	0.984	0.611	-0.007	0.241	0.644
285.0	164.5	89.39	145.9	98.15	105.5	88.19	43.49	15.17	19.50	70.43	83.67	112.6	190.1	126.1	46.75	46.70	365.9	 3285	 3167	342.0	4.165	4.556	2.042	1.508	1.510	3.377	0.412	1.138	0.812	0.383	1.212	1.760	0.451	1.016	0.749	0.353	0.387	0.000	0.587	1.435	0.842	0.896	0.323	0.345	0.568	0.409	0.406	0.394	0.595	0.262	0.246
290.0	388.8	255.1	190.2	250.5	201.9	282.7	167.1	89.12	70.08	110.8	128.4	157.4	167.5	352.0	213.1	159.1	157.5	891.1	 6083	 5060	421.7	6.176	5.024	2.327	1.400	1.601	1.193	2.484	1.125	0.293	0.618	0.392	0.067	0.988	0.163	1.310	1.813	0.111	1.117	0.921	0.961	0.331	0.450	0.695	0.866	1.020	0.771	1.501	1.341	1.775	0.942
295.0	729.5	443.8	350.9	460.0	518.1	494.6	273.8	203.7	128.5	141.7	174.0	188.1	176.1	373.0	555.4	379.2	304.2	231.3	 1413	 8522	 6767	555.1	8.719	5.419	6.150	1.909	3.279	2.585	0.804	0.582	1.761	1.399	1.066	0.399	1.075	1.109	1.097	1.047	0.591	2.359	1.629	0.862	1.084	1.069	0.736	1.063	1.245	1.179	1.313	1.456	1.852
300.0	816.0	681.5	622.8	515.5	643.4	589.6	443.5	245.9	162.1	173.7	203.5	210.8	209.2	323.7	706.5	841.7	509.4	306.5	219.8	 1707	9999.9	 7969	564.9	8.827	6.559	5.291	3.691	2.753	2.120	1.022	0.600	1.187	2.178	1.295	0.516	0.850	0.631	1.414	0.935	1.364	1.023	1.287	0.907	0.845	2.019	1.659	1.473	1.665	2.040	2.396	1.709
305.0	913.6	818.1	650.0	652.7	600.3	703.4	569.1	400.9	231.2	201.4	205.3	251.1	271.5	355.7	549.5	 1149	969.6	402.8	183.1	180.6	 1859	9999.9	 8523	650.5	10.64	5.700	4.068	3.020	1.676	2.550	2.157	2.534	1.573	1.033	1.825	0.934	0.320	0.452	0.610	1.841	1.239	1.894	1.546	0.903	1.742	1.771	2.079	1.192	1.968	2.337	2.309
310.0	903.6	714.3	665.6	615.3	701.4	702.8	604.0	529.2	328.7	261.8	231.7	258.6	331.5	436.7	583.7	838.5	 1241	756.6	236.6	99.20	168.5	 1891	9999.9	 8673	664.7	10.58	6.794	3.522	3.100	2.554	3.264	1.590	1.800	1.066	0.954	1.216	1.635	1.036	1.485	2.060	1.957	1.689	2.635	1.027	1.389	2.310	1.603	1.707	1.817	2.521	2.366
315.0	 1080	920.5	751.9	488.9	743.1	822.4	610.5	477.6	333.5	243.1	278.4	293.1	320.6	450.3	593.5	723.1	914.6	 1096	444.9	140.6	75.69	162.9	 2162	9999.9	 8601	577.2	10.01	5.134	4.850	4.026	1.673	1.662	1.177	2.671	1.009	2.150	1.385	0.968	1.104	2.078	1.310	1.524	1.047	1.077	1.660	1.228	2.470	2.125	1.910	2.002	2.188
320.0	675.3	854.4	593.7	549.6	666.8	721.2	712.9	450.4	377.0	315.7	319.5	368.9	400.2	460.7	618.2	678.1	744.5	816.0	798.7	249.3	99.64	66.82	182.2	 2038	9999.9	 8215	560.3	6.301	7.116	4.084	1.956	1.639	4.332	1.456	1.599	1.622	1.231	1.271	0.929	1.210	1.587	1.385	0.928	1.239	1.455	1.458	1.412	2.037	2.174	2.262	2.510
325.0	541.4	753.4	685.7	532.3	685.4	779.9	730.1	520.6	402.5	329.7	344.9	351.1	407.5	476.1	590.7	687.1	669.9	605.5	642.5	632.2	171.0	78.00	57.19	168.4	 1992	9999.9	 8159	578.3	6.375	6.377	3.304	2.598	3.549	3.439	1.669	0.707	0.844	1.711	1.358	1.064	0.920	1.468	1.536	1.001	1.754	1.346	0.954	1.953	1.855	2.621	1.909
330.0	603.4	537.2	527.8	352.8	618.3	756.7	632.0	479.8	350.3	334.6	336.7	382.5	435.0	478.8	552.4	651.9	667.8	550.1	394.1	556.2	479.9	120.8	61.06	53.36	161.6	 1848	9999.9	 8004	550.5	8.299	6.171	5.966	3.973	2.418	1.738	2.152	0.753	1.097	1.513	1.269	1.488	1.903	0.975	1.818	1.611	1.239	1.495	1.343	2.044	2.402	3.496
335.0	541.7	657.6	512.2	400.6	573.5	655.5	624.0	427.6	350.4	361.7	352.7	346.5	443.7	454.1	546.6	614.7	659.7	530.6	378.6	295.8	545.9	345.2	91.49	59.15	55.80	153.2	 1864	9999.9	 7639	536.2	6.478	6.480	4.468	3.138	2.855	1.907	1.891	1.262	1.247	1.848	1.214	1.410	1.678	1.910	1.835	1.143	1.338	1.496	1.627	3.171	2.420
340.0	448.3	395.6	522.1	470.9	471.1	670.1	508.8	463.3	358.5	367.1	350.0	396.6	391.8	465.8	507.4	588.4	606.8	524.4	387.4	267.8	272.6	516.7	259.7	85.77	64.12	57.64	152.1	 1761	9999.9	 7414	537.6	10.24	6.521	4.781	3.796	2.454	1.465	1.620	1.157	1.375	1.550	1.701	2.032	1.158	1.069	0.856	2.072	1.571	1.811	1.736	2.713
345.0	481.4	456.4	622.7	455.0	433.1	590.8	558.6	429.8	312.8	380.2	374.0	379.9	397.2	495.3	485.7	537.3	580.7	493.1	388.9	280.3	211.2	270.6	489.7	197.6	93.33	69.92	58.39	153.2	 1725	 9701	 7310	550.4	8.513	5.679	3.974	2.188	1.194	1.304	1.934	1.433	1.916	0.606	2.264	0.509	1.337	1.931	1.067	2.320	1.700	1.246	2.231
350.0	337.8	413.3	461.7	379.6	578.2	572.8	581.6	430.7	395.4	384.6	362.0	375.6	397.4	451.4	495.0	504.2	556.7	482.0	383.2	272.6	215.4	188.0	323.2	445.7	162.9	88.40	81.26	64.65	151.6	 1582	 9203	 7075	522.3	5.902	4.442	3.408	2.868	2.733	1.052	1.091	1.059	1.243	1.238	1.526	1.364	1.514	1.556	1.526	2.303	2.038	2.627
355.0	469.3	299.6	378.0	430.6	498.5	600.9	521.5	420.1	345.4	365.7	340.5	324.0	371.5	420.1	481.7	500.4	503.0	482.3	381.4	304.1	250.3	199.7	201.5	384.3	406.8	147.7	107.0	77.51	68.54	141.5	 1538	 9009	 7134	513.3	7.729	4.929	3.460	3.560	1.675	1.306	1.282	1.630	1.079	1.714	2.008	1.262	1.871	1.128	1.700	1.778	2.193
360.0	174.8	228.3	355.8	365.6	419.6	515.8	415.8	397.7	330.4	365.4	324.7	352.4	348.1	396.0	429.3	459.3	482.3	435.7	384.0	308.8	252.1	239.4	201.6	233.4	433.4	358.7	140.7	111.8	84.02	70.46	141.0	 1580	 9149	 6550	459.1	7.656	5.737	4.674	1.948	2.097	3.484	1.066	1.789	1.175	1.655	1.868	1.438	2.315	2.084	1.444	2.692
