Sample:	'SLABO1-5-5-320
File name:	1H2.FD3
Run Date:	16:19:32, 08/15/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/545.0	449.3
2	230.0/335.0	 1454
3	230.0/345.0	 1413
4	275.0/430.0	 3569
5	275.0/445.0	 3634
6	280.0/335.0	 2294
7	280.0/345.0	 2284
8	280.0/365.0	 2289
9	280.0/435.0	 3551
10	285.0/355.0	 2280
11	330.0/425.0	 3674
12	335.0/435.0	 3709
13	340.0/285.0	3.747
14	355.0/305.0	4.987
15	360.0/290.0	3.839
16	400.0/300.0	2.694
17	420.0/315.0	3.049
18	425.0/345.0	4.456
19	435.0/310.0	3.662
20	435.0/355.0	4.541
21	445.0/320.0	4.448
22	445.0/380.0	5.162

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	-29.63	2.478	30.45	20.84	20.81	-12.51	1.960	9.934	14.90	10.16	24.71	30.71	19.32	6.085	8.612	240.3	 1470	715.9	31.24	5.353	4.420	2.942	3.213	2.939	1.469	1.977	2.413	3.865	3.317	2.586	0.269	2.111	1.884	2.382	1.847	2.143	2.004	0.954	1.583	2.100	1.527	1.545	1.795	0.839	0.620	0.996	0.318	0.563	0.945	0.490	0.498
285.0	76.25	26.81	49.70	28.10	40.98	42.24	31.27	29.01	39.94	40.99	58.90	89.29	72.01	53.10	40.39	54.47	525.5	 4353	 2663	198.3	4.286	4.914	4.367	4.587	3.093	3.781	2.190	2.990	3.747	3.276	2.175	2.632	1.430	1.567	2.451	1.681	1.142	1.723	1.288	1.663	1.457	1.690	0.849	1.266	0.361	1.283	0.521	1.581	0.651	0.670	0.493
290.0	82.31	50.29	52.93	96.55	120.5	99.94	117.8	73.21	47.88	70.36	66.13	91.02	141.4	165.7	147.8	163.0	188.6	 1406	 8418	 4431	272.6	6.023	5.220	5.057	4.797	4.605	2.086	4.042	1.658	2.161	3.256	1.241	3.839	2.592	2.836	2.318	1.610	2.155	2.361	1.281	1.289	0.804	1.244	0.745	0.988	1.656	0.780	1.525	0.807	1.282	0.955
295.0	35.39	112.6	133.5	193.5	258.3	300.1	238.8	167.5	101.7	110.4	124.4	133.2	148.3	275.8	393.4	389.4	372.8	348.5	 2353	9999.9	 5971	342.6	8.930	11.50	5.819	6.600	4.826	3.457	2.392	3.844	2.998	2.257	2.045	2.959	1.938	1.768	1.513	2.175	1.337	1.885	1.564	1.716	1.819	0.498	1.019	0.780	1.540	1.235	1.019	1.536	1.432
300.0	151.5	123.6	228.2	301.0	403.8	455.7	467.8	301.7	220.2	163.4	172.4	200.9	250.6	377.4	594.0	804.5	639.7	497.1	405.9	 3018	9999.9	 7722	386.2	11.45	8.907	9.272	6.412	5.059	3.760	3.829	3.436	2.400	2.431	3.100	1.777	2.665	2.411	1.392	2.543	1.639	2.694	1.859	1.260	2.118	1.519	1.928	1.622	1.717	2.531	2.095	1.452
305.0	176.1	391.5	235.1	382.0	558.3	582.5	649.5	474.6	315.3	227.6	237.4	264.9	366.9	500.5	799.7	 1154	 1140	799.1	476.3	407.5	 3207	9999.9	 8746	408.5	12.46	12.31	7.571	4.912	5.372	3.947	4.382	4.987	2.630	3.531	2.970	2.576	2.977	1.831	2.506	1.549	2.232	1.686	1.250	1.769	1.495	1.326	1.631	1.890	2.345	1.932	2.561
310.0	269.0	319.4	432.9	436.5	613.9	992.2	914.4	619.2	415.2	314.2	278.0	352.6	478.0	715.9	 1008	 1289	 1553	 1259	687.0	364.4	350.5	 3596	9999.9	 9904	434.8	13.17	10.93	8.050	8.478	4.447	4.642	3.860	2.568	2.346	3.543	2.414	2.583	3.105	1.974	1.348	1.512	0.535	1.939	1.208	1.418	1.716	1.958	3.662	2.081	3.020	2.453
315.0	373.9	325.8	576.5	476.6	777.6	906.6	974.4	725.4	469.0	371.2	405.7	483.9	614.3	792.6	 1231	 1518	 1733	 1693	 1033	539.0	247.3	326.0	 4320	9999.9	9999.9	378.4	14.38	13.41	9.346	8.354	4.909	5.362	4.455	4.261	3.649	2.031	2.146	2.916	1.368	2.266	0.802	2.482	2.445	1.903	3.049	1.662	1.486	2.065	2.743	2.724	3.272
320.0	293.8	387.8	531.3	758.9	828.7	 1081	 1118	835.6	572.5	444.5	447.2	571.1	708.7	 1026	 1403	 1706	 1905	 1763	 1468	773.1	336.2	181.4	345.7	 4413	9999.9	9999.9	398.8	19.21	10.15	11.99	6.249	6.548	4.795	3.177	3.190	2.777	3.342	2.576	3.044	2.206	2.173	2.015	1.312	1.725	1.712	2.439	1.611	2.669	2.746	4.448	2.870
325.0	417.5	417.3	579.5	793.7	 1031	 1092	 1343	936.0	659.1	517.6	518.1	613.4	807.9	 1133	 1507	 1824	 2034	 1893	 1534	 1074	477.6	233.5	144.3	348.3	 4361	9999.9	9999.9	427.9	17.68	15.36	14.01	8.707	6.803	7.522	4.838	3.535	2.549	3.266	1.327	1.671	1.878	2.574	2.343	2.032	2.550	1.883	1.924	2.348	2.795	3.679	4.658
330.0	257.4	438.1	571.4	825.2	 1025	 1179	 1346	 1021	640.2	563.5	552.7	742.9	908.8	 1155	 1529	 2053	 2201	 2115	 1599	 1211	745.6	333.1	179.8	128.2	356.6	 4267	9999.9	9999.9	449.4	19.69	15.31	10.36	9.538	7.225	4.014	4.416	3.103	3.350	2.341	2.229	2.018	2.833	2.289	2.107	2.451	2.677	2.350	1.910	2.884	3.337	3.958
335.0	305.3	325.1	506.8	752.4	983.1	 1372	 1454	 1019	693.0	552.9	653.9	712.2	943.0	 1273	 1706	 2070	 2294	 2190	 1781	 1247	884.2	538.6	256.2	184.5	140.9	359.6	 4416	9999.9	9999.9	456.1	22.13	16.62	12.50	9.736	6.651	5.778	4.690	2.393	1.801	2.137	2.787	3.250	2.262	2.628	2.576	1.629	2.847	2.906	3.195	3.117	4.867
340.0	207.7	265.3	586.8	808.4	 1021	 1267	 1307	 1041	823.1	629.1	619.6	765.5	995.1	 1313	 1704	 2031	 2231	 2165	 1835	 1275	833.9	731.1	447.9	290.1	222.7	197.2	407.2	 4189	9999.9	9999.9	522.8	26.11	15.95	12.26	10.88	6.594	4.625	3.782	3.078	2.606	2.154	3.127	2.497	2.340	2.012	3.255	2.763	3.153	3.744	4.177	4.401
345.0	346.7	340.1	508.1	652.5	935.4	 1306	 1413	 1171	744.3	633.3	693.0	776.0	998.8	 1386	 1737	 2098	 2284	 2216	 1891	 1398	924.9	743.1	680.9	486.3	354.3	283.2	239.5	415.0	 4241	9999.9	9999.9	574.0	26.45	21.25	11.72	11.50	7.005	5.178	4.374	3.468	2.964	3.164	3.048	2.603	2.050	4.456	3.885	2.587	3.416	3.827	3.913
350.0	311.6	364.2	509.2	641.9	 1007	 1275	 1386	 1104	832.2	720.0	771.2	906.4	 1037	 1341	 1669	 2119	 2243	 2231	 1970	 1510	 1053	802.5	759.2	760.2	554.7	448.8	353.0	296.3	449.8	 4151	9999.9	9999.9	561.5	29.38	19.26	14.33	9.011	7.325	5.682	4.721	3.470	3.313	3.868	3.437	2.037	3.696	3.318	2.673	3.478	3.893	4.275
355.0	298.7	461.4	636.1	672.2	931.7	 1308	 1344	 1070	872.0	843.6	893.0	939.2	 1070	 1396	 1729	 2079	 2239	 2280	 2003	 1575	 1188	992.6	854.3	926.2	873.7	652.6	521.4	438.9	346.3	478.1	 4066	9999.9	9999.9	575.7	29.65	19.48	13.89	7.880	6.691	5.492	3.744	3.797	3.390	3.097	2.270	3.704	2.204	4.541	3.835	4.432	4.163
360.0	275.8	364.7	431.0	729.8	946.6	 1203	 1201	 1116	930.2	961.0	961.0	 1040	 1166	 1448	 1704	 2093	 2288	 2240	 2019	 1677	 1318	 1144	 1040	 1039	 1106	988.3	738.5	626.5	494.5	379.2	481.2	 4400	9999.9	9999.9	595.6	31.45	19.06	13.09	11.38	6.160	5.705	3.446	3.289	3.227	4.039	3.500	3.646	2.892	4.474	3.542	3.757
365.0	177.7	264.4	431.9	741.0	 1102	 1151	 1282	 1176	999.8	 1035	 1072	 1095	 1297	 1462	 1775	 2094	 2289	 2239	 2092	 1778	 1459	 1347	 1292	 1267	 1238	 1300	 1091	873.3	710.5	538.3	413.7	543.9	 4192	9999.9	9999.9	631.6	31.65	16.38	11.56	8.722	8.023	5.943	4.681	4.575	3.015	2.519	2.867	3.407	3.887	3.016	4.296
370.0	284.1	339.3	453.9	712.3	972.3	 1058	 1280	 1194	 1159	 1153	 1173	 1258	 1400	 1622	 1841	 2091	 2221	 2307	 2121	 1860	 1646	 1553	 1488	 1488	 1435	 1402	 1410	 1162	945.9	759.8	567.1	425.6	534.4	 4288	9999.9	9999.9	618.5	30.15	18.23	11.38	8.676	6.522	4.447	4.527	4.561	3.008	3.145	3.518	3.832	3.598	4.894
375.0	261.6	329.5	489.2	684.0	921.8	 1312	 1342	 1263	 1231	 1290	 1304	 1465	 1524	 1753	 1911	 2142	 2271	 2317	 2228	 2034	 1850	 1783	 1731	 1714	 1703	 1635	 1639	 1552	 1259	 1031	818.1	611.5	444.8	557.0	 4135	9999.9	9999.9	652.5	30.71	17.38	12.03	8.477	6.220	5.235	4.852	4.272	4.635	4.266	4.729	3.990	4.765
380.0	233.2	403.4	654.6	710.3	 1004	 1254	 1362	 1404	 1343	 1477	 1413	 1572	 1635	 1902	 2075	 2259	 2368	 2427	 2327	 2186	 2017	 2032	 2031	 1993	 1991	 1922	 1846	 1820	 1639	 1292	 1049	846.2	634.0	487.3	559.1	 4218	9999.9	9999.9	589.2	25.28	17.18	10.91	8.252	7.139	5.769	3.488	5.159	4.767	5.137	5.162	5.128
385.0	244.6	419.6	503.3	724.5	 1124	 1320	 1369	 1475	 1519	 1587	 1572	 1789	 1927	 1937	 2129	 2301	 2430	 2496	 2464	 2310	 2141	 2258	 2316	 2268	 2249	 2254	 2149	 2020	 1930	 1706	 1347	 1111	887.9	659.7	477.7	559.9	 3716	9999.9	9999.9	599.3	30.97	18.63	13.01	7.851	5.780	5.474	3.551	4.053	5.247	4.631	5.908
390.0	237.9	497.6	777.9	856.5	 1240	 1431	 1532	 1662	 1668	 1733	 1802	 1941	 2016	 2136	 2250	 2463	 2543	 2575	 2629	 2448	 2419	 2482	 2524	 2544	 2522	 2534	 2418	 2271	 2166	 2056	 1741	 1441	 1153	903.8	680.2	476.1	526.8	 3500	9999.9	9999.9	554.0	27.76	19.38	10.80	9.551	8.529	6.040	4.782	4.167	3.394	4.787
395.0	274.0	381.2	756.3	 1054	 1285	 1401	 1657	 1625	 1798	 1839	 2015	 2118	 2207	 2258	 2459	 2552	 2668	 2694	 2773	 2605	 2566	 2618	 2705	 2765	 2826	 2735	 2708	 2615	 2404	 2294	 2147	 1791	 1469	 1192	920.1	670.9	478.4	516.8	 3429	9999.9	9999.9	558.8	25.48	15.84	11.69	8.691	6.765	6.372	6.037	5.446	6.134
400.0	352.4	654.8	560.4	995.8	 1297	 1401	 1780	 1895	 1991	 2102	 2237	 2282	 2305	 2429	 2636	 2829	 2852	 2837	 2901	 2805	 2806	 2822	 2903	 3001	 3031	 2997	 2955	 2886	 2723	 2559	 2410	 2180	 1795	 1516	 1202	910.9	654.3	469.9	504.5	 3359	9999.9	9999.9	511.1	22.26	17.31	11.88	9.806	7.429	7.766	6.582	6.064
405.0	293.3	578.4	615.3	 1167	 1231	 1667	 1919	 1936	 2064	 2248	 2367	 2455	 2570	 2672	 2769	 2960	 2928	 2977	 2960	 2840	 2951	 2969	 3118	 3176	 3202	 3229	 3179	 3085	 2932	 2799	 2605	 2474	 2186	 1803	 1499	 1179	859.1	634.0	435.2	487.9	 3026	9999.9	9999.9	465.5	25.78	17.43	11.40	7.080	7.330	7.728	6.731
410.0	242.4	616.1	682.9	 1072	 1339	 1635	 1912	 2003	 2045	 2428	 2452	 2603	 2789	 2764	 2960	 3028	 3127	 3137	 3054	 2961	 2981	 3114	 3272	 3303	 3319	 3350	 3374	 3311	 3175	 3050	 2852	 2671	 2489	 2169	 1803	 1416	 1107	824.2	585.7	416.1	454.3	 3043	9999.9	9999.9	431.4	27.46	17.04	10.19	10.11	7.502	7.439
415.0	483.4	607.8	841.5	 1072	 1396	 1770	 1951	 2187	 2254	 2566	 2596	 2759	 2780	 2986	 3215	 3149	 3303	 3196	 3098	 3131	 3067	 3203	 3261	 3443	 3495	 3477	 3521	 3477	 3377	 3237	 3075	 2860	 2699	 2506	 2118	 1695	 1333	 1029	750.9	553.4	397.2	442.8	 2998	9999.9	9999.9	439.2	24.53	16.37	12.00	10.25	8.107
420.0	339.6	533.8	869.9	978.9	 1429	 1634	 2014	 2285	 2269	 2588	 2663	 2812	 2997	 3083	 3226	 3293	 3336	 3281	 3205	 3121	 3100	 3224	 3304	 3465	 3528	 3560	 3609	 3568	 3445	 3353	 3216	 3071	 2846	 2678	 2408	 1989	 1583	 1225	956.4	707.1	529.1	370.6	428.5	 2873	9999.9	9999.9	387.3	27.30	16.46	12.61	8.823
425.0	275.9	662.1	973.8	 1251	 1290	 1650	 1898	 2176	 2476	 2639	 2739	 2843	 3058	 3138	 3362	 3360	 3488	 3302	 3215	 3149	 3114	 3222	 3337	 3457	 3541	 3547	 3674	 3639	 3609	 3477	 3350	 3218	 3053	 2851	 2597	 2277	 1802	 1440	 1141	858.8	668.9	481.2	356.6	407.3	 2743	9999.9	 9797	323.4	27.02	16.00	14.09
430.0	297.9	623.2	763.4	 1237	 1512	 1641	 1880	 2188	 2354	 2640	 2827	 2977	 3110	 3269	 3470	 3569	 3511	 3383	 3234	 3178	 3047	 3218	 3278	 3442	 3483	 3559	 3665	 3654	 3617	 3607	 3431	 3319	 3194	 2970	 2748	 2427	 2084	 1635	 1325	 1031	799.7	601.6	454.8	336.4	385.0	 2652	9999.9	 9330	317.5	27.74	20.13
435.0	360.9	556.4	843.4	 1234	 1572	 1714	 1969	 2192	 2393	 2636	 2876	 3017	 3188	 3377	 3475	 3499	 3551	 3364	 3177	 3104	 3081	 3188	 3291	 3414	 3537	 3564	 3646	 3709	 3628	 3593	 3541	 3383	 3303	 3173	 2874	 2560	 2227	 1867	 1484	 1192	938.4	739.3	564.2	413.3	324.9	384.0	 2604	9999.9	 8943	303.4	25.52
440.0	346.2	674.9	803.8	 1157	 1435	 1661	 1985	 2218	 2451	 2722	 2792	 2982	 3069	 3270	 3535	 3597	 3504	 3369	 3160	 3099	 2982	 3067	 3212	 3340	 3460	 3502	 3542	 3639	 3570	 3604	 3516	 3438	 3396	 3196	 2980	 2648	 2360	 1981	 1650	 1342	 1057	883.0	677.8	523.4	406.1	312.2	381.1	 2627	9999.9	 8916	277.4
445.0	316.6	611.8	686.7	 1181	 1341	 1675	 1804	 2161	 2466	 2719	 2866	 2844	 3123	 3385	 3561	 3634	 3519	 3361	 3154	 3037	 2949	 3018	 3086	 3248	 3339	 3412	 3484	 3524	 3602	 3559	 3457	 3466	 3356	 3259	 3069	 2709	 2388	 2089	 1789	 1465	 1205	993.6	787.9	619.9	496.8	384.7	303.2	374.1	 2666	9999.9	 7617
450.0	332.9	453.3	802.6	 1104	 1111	 1431	 1813	 2017	 2262	 2551	 2783	 2811	 3052	 3332	 3484	 3580	 3501	 3243	 3037	 2932	 2817	 2899	 2984	 3091	 3171	 3266	 3325	 3453	 3430	 3460	 3409	 3343	 3352	 3204	 3015	 2753	 2441	 2140	 1862	 1611	 1305	 1099	903.8	725.7	589.2	482.8	374.7	284.4	359.7	 2508	9999.9
