Sample:	'SLABO1-5-5-320
File name:	2N7.FD3
Run Date:	15:37:11, 08/17/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/305.0	 1020
2	225.0/545.0	192.6
3	230.0/345.0	 2860
4	240.0/380.0	 2049
5	240.0/395.0	 1961
6	245.0/385.0	 2085
7	245.0/405.0	 1999
8	250.0/390.0	 2038
9	255.0/425.0	 1990
10	270.0/440.0	 2041
11	275.0/400.0	 2188
12	275.0/410.0	 2185
13	275.0/420.0	 2128
14	280.0/310.0	 1885
15	280.0/345.0	 2675
16	280.0/365.0	 2663
17	280.0/430.0	 2041
18	285.0/355.0	 2624
19	310.0/400.0	 1836
20	320.0/410.0	 1901
21	325.0/415.0	 1872
22	330.0/420.0	 1854
23	365.0/295.0	2.855
24	400.0/300.0	3.842
25	410.0/350.0	4.890
26	415.0/310.0	4.060
27	430.0/345.0	6.356
28	435.0/310.0	5.455
29	440.0/355.0	8.012
30	445.0/345.0	8.414
31	445.0/360.0	9.170

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	78.14	67.42	41.66	104.4	45.65	54.61	36.36	23.10	6.330	19.79	46.99	52.38	39.06	23.95	19.50	380.7	 2715	 1107	44.29	6.500	6.607	2.885	3.783	4.901	3.846	2.857	1.736	2.651	1.347	2.314	2.145	2.667	2.720	1.457	2.406	2.349	1.024	1.842	1.621	0.919	0.953	1.739	0.743	0.984	1.003	1.166	1.056	0.951	0.938	0.901	0.989
285.0	228.0	153.3	229.5	282.7	247.9	214.4	143.5	90.96	45.62	66.87	88.33	96.79	181.9	157.5	117.0	141.2	 1079	 7875	 3892	257.1	8.442	5.899	8.169	6.359	3.010	2.575	3.201	2.191	3.018	2.731	2.109	2.203	2.145	1.395	2.360	2.148	3.538	2.856	1.947	0.926	1.565	0.961	1.581	1.365	1.367	1.286	1.271	1.376	1.583	1.252	1.346
290.0	492.5	519.9	382.0	459.6	504.6	629.5	416.0	191.9	98.86	120.8	156.0	212.1	270.6	402.7	343.1	295.8	317.2	 2797	9999.9	 6381	352.9	10.16	8.039	5.997	6.518	5.027	3.408	2.446	3.689	2.882	2.200	2.610	2.398	2.827	1.315	2.033	1.975	1.546	1.964	1.781	1.485	1.638	1.655	1.533	2.241	2.118	1.921	1.632	2.656	3.355	2.110
295.0	631.0	728.4	622.8	779.5	870.6	944.8	764.8	358.1	175.6	217.4	252.1	286.4	341.9	516.5	811.1	650.7	511.9	493.1	 3861	9999.9	 8564	415.7	15.22	10.54	7.128	6.631	5.076	3.149	3.701	3.263	3.417	1.503	2.353	2.855	2.840	2.194	1.887	2.708	1.661	3.049	2.736	2.020	2.757	2.298	1.347	1.850	2.480	3.508	3.961	3.896	4.266
300.0	660.2	950.7	922.8	906.3	 1014	 1075	 1022	568.7	334.4	315.3	373.6	378.3	482.4	615.2	 1004	 1158	866.6	566.7	476.5	 4697	9999.9	9999.9	445.7	15.43	12.86	8.450	5.928	6.667	4.905	3.801	3.173	3.493	2.943	1.806	3.325	2.383	1.699	2.592	2.582	2.483	3.842	3.120	2.250	2.766	2.873	2.954	3.347	3.018	4.081	4.716	4.499
305.0	665.5	 1020	999.4	974.6	 1262	 1303	 1200	690.8	419.1	431.8	532.7	553.6	613.4	757.0	 1012	 1581	 1416	870.5	422.9	485.7	 4900	9999.9	9999.9	541.5	19.37	12.41	7.546	10.22	6.191	4.738	3.524	3.818	3.983	2.278	3.257	3.141	2.959	1.484	2.404	3.080	2.899	3.133	3.009	2.959	3.402	3.093	3.108	3.819	4.142	3.916	5.278
310.0	803.3	983.0	943.1	 1063	 1334	 1428	 1234	760.5	586.0	580.3	592.0	708.8	770.6	967.5	 1259	 1558	 1885	 1223	603.0	316.2	478.2	 5527	9999.9	9999.9	546.2	16.59	11.81	9.609	6.887	5.142	4.673	5.741	4.142	4.378	3.476	2.416	1.935	2.220	2.379	3.065	3.831	2.714	2.834	4.060	2.960	2.964	3.130	5.455	4.332	4.650	4.972
315.0	721.3	926.2	919.6	 1088	 1278	 1497	 1302	987.7	685.9	631.7	712.1	823.5	946.6	 1079	 1360	 1598	 1723	 1690	927.2	456.5	277.2	493.4	 6222	9999.9	9999.9	498.0	18.23	12.07	10.60	7.441	6.002	4.747	4.315	3.884	2.752	2.475	2.834	2.283	2.839	3.699	3.510	3.821	2.968	2.645	3.539	3.236	4.309	4.135	3.670	5.254	5.686
320.0	731.8	949.8	838.1	956.7	 1354	 1660	 1598	 1120	801.3	784.7	795.5	978.0	939.9	 1304	 1513	 1775	 1840	 1692	 1475	718.6	379.6	250.5	541.2	 6139	9999.9	9999.9	481.9	19.01	13.49	9.711	7.528	5.581	5.824	3.553	3.965	4.087	2.656	2.720	2.732	3.117	3.002	3.229	2.259	3.024	3.128	3.131	3.721	4.179	5.498	3.360	7.047
