Sample:	'SLABO1-5-5-320
File name:	2P9.FD3
Run Date:	16:41:55, 08/17/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/310.0	428.9
2	205.0/525.0	406.9
3	210.0/315.0	504.7
4	210.0/350.0	607.0
5	210.0/365.0	718.9
6	215.0/330.0	598.9
7	220.0/300.0	391.0
8	220.0/535.0	540.6
9	230.0/305.0	400.6
10	270.0/300.0	437.9
11	275.0/305.0	626.5
12	275.0/425.0	 4267
13	280.0/310.0	808.9
14	285.0/315.0	850.3
15	290.0/320.0	835.9
16	295.0/330.0	860.2
17	320.0/420.0	 4049
18	325.0/415.0	 4031
19	330.0/425.0	 4096
20	375.0/295.0	12.23
21	380.0/300.0	12.11
22	400.0/305.0	9.134
23	410.0/315.0	9.528
24	410.0/330.0	12.18
25	430.0/325.0	7.798
26	435.0/330.0	8.349
27	445.0/300.0	5.218
28	445.0/365.0	10.79

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	30.48	49.78	58.79	33.86	24.05	33.27	30.01	7.746	11.73	19.62	33.71	54.66	34.19	16.37	19.47	 1542	 8957	 3174	107.8	17.33	18.57	18.56	15.49	12.77	11.21	13.77	9.470	10.36	11.24	10.29	8.328	11.43	9.067	7.610	9.080	9.832	7.797	8.957	5.261	5.318	5.195	4.229	4.091	4.035	3.207	3.467	3.373	2.872	2.848	2.603	2.118
285.0	93.16	65.88	79.57	59.00	101.7	74.50	60.75	43.84	43.47	53.09	63.61	97.18	115.4	81.50	47.42	131.6	 3849	9999.9	9999.9	648.1	29.07	26.87	23.33	17.78	17.46	14.57	14.67	11.40	10.83	9.878	11.23	10.31	8.410	10.09	8.838	8.089	9.598	7.078	5.722	5.879	5.613	5.267	4.577	3.937	4.269	2.020	3.382	2.082	3.347	2.528	1.931
290.0	245.3	150.3	146.8	160.8	207.9	163.9	113.1	104.7	63.97	96.21	107.6	124.1	122.9	216.8	123.1	90.27	312.7	 8680	9999.9	9999.9	864.0	38.17	35.14	24.91	22.73	13.77	14.01	13.22	15.05	10.51	11.58	11.09	9.444	10.38	9.921	9.401	9.915	6.947	6.834	6.916	4.423	6.056	4.554	5.394	2.514	3.937	3.815	3.251	3.644	2.947	2.784
295.0	314.2	249.4	227.7	185.3	283.4	244.0	260.4	126.5	86.50	105.6	133.1	126.7	129.8	221.5	351.7	190.9	177.9	680.6	9999.9	9999.9	9999.9	 1149	55.38	44.16	38.28	27.59	18.41	17.94	14.22	12.92	15.13	12.19	13.50	10.24	9.048	12.23	10.16	7.132	8.075	6.947	5.530	6.420	5.875	6.122	3.731	4.970	5.089	4.016	3.592	4.243	3.320
300.0	385.3	305.8	274.6	282.0	391.0	366.8	358.0	213.7	140.8	172.6	185.0	198.5	171.3	237.7	437.9	437.5	298.5	244.5	773.2	9999.9	9999.9	9999.9	 1231	62.25	54.00	39.52	32.47	24.38	22.75	19.46	15.00	14.94	11.08	10.94	13.97	10.55	12.11	9.573	7.974	8.172	6.988	8.017	7.073	6.174	5.198	3.591	4.640	4.383	3.786	5.218	4.231
305.0	356.1	357.5	368.9	389.3	320.2	398.9	400.6	282.5	210.7	186.7	206.5	192.8	226.4	272.7	320.3	626.5	540.6	313.7	236.4	771.1	9999.9	9999.9	9999.9	 1466	72.68	55.23	45.66	32.69	29.41	22.63	17.69	17.26	16.14	12.37	13.50	11.96	9.954	9.460	7.907	7.242	9.134	7.738	6.540	6.308	5.205	4.373	5.337	3.692	4.900	4.051	4.430
310.0	381.1	428.9	428.4	371.5	437.1	390.0	371.5	377.2	241.0	199.1	236.3	282.2	292.9	326.8	445.1	526.7	808.9	524.9	297.5	246.8	786.0	9999.9	9999.9	9999.9	 1595	92.28	65.94	54.50	41.61	28.96	21.36	20.93	16.41	13.48	13.17	13.45	12.65	12.18	10.71	9.999	7.316	7.520	7.366	7.095	5.619	6.308	5.842	5.122	6.208	5.399	3.635
315.0	391.9	412.8	504.7	437.8	497.0	431.0	481.8	401.3	294.9	292.4	315.5	340.9	383.8	406.4	473.3	517.4	667.0	850.3	468.9	270.5	225.2	796.8	9999.9	9999.9	9999.9	 1450	99.90	68.72	53.32	36.98	33.62	23.67	20.35	19.81	18.23	14.42	13.67	12.05	10.61	7.634	8.316	7.690	9.528	7.251	5.196	6.042	5.543	5.556	5.384	4.899	5.261
320.0	484.4	368.5	433.7	419.4	507.3	549.4	528.1	448.2	364.5	375.6	411.1	430.7	429.7	474.3	526.4	620.1	684.1	754.8	835.9	413.6	229.6	232.6	802.0	9999.9	9999.9	9999.9	 1518	107.7	83.58	63.68	52.08	30.54	26.63	25.40	18.30	17.30	15.36	13.70	11.27	13.76	10.10	8.418	6.278	8.397	6.205	5.622	6.103	6.813	6.531	4.524	5.731
325.0	475.7	459.7	410.2	425.2	548.4	603.3	624.7	559.6	455.0	379.5	457.4	473.3	476.4	520.6	626.7	674.4	793.1	701.0	832.0	785.0	354.1	246.9	244.9	825.6	9999.9	9999.9	9999.9	 1657	115.4	84.54	64.57	47.25	35.95	28.10	23.58	19.98	16.48	13.49	12.82	13.79	11.08	9.455	10.10	8.256	6.790	6.212	7.798	6.030	6.447	5.902	4.969
