Sample:	'SLABO1-5-5-320
File name:	3H7.FD3
Run Date:	17:37:00, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/320.0	651.3
2	205.0/335.0	549.3
3	205.0/345.0	510.0
4	205.0/390.0	392.3
5	205.0/435.0	353.9
6	205.0/490.0	235.8
7	205.0/525.0	136.1
8	205.0/540.0	102.4
9	210.0/395.0	421.0
10	210.0/410.0	447.9
11	215.0/370.0	469.5
12	215.0/460.0	340.6
13	215.0/480.0	300.8
14	215.0/495.0	215.8
15	215.0/510.0	205.1
16	215.0/535.0	108.9
17	220.0/410.0	505.4
18	220.0/425.0	472.0
19	220.0/470.0	328.5
20	220.0/530.0	127.1
21	220.0/545.0	120.5
22	225.0/315.0	812.2
23	225.0/380.0	552.6
24	225.0/405.0	478.5
25	225.0/420.0	475.1
26	225.0/485.0	240.5
27	225.0/515.0	175.3
28	230.0/330.0	863.8
29	230.0/385.0	547.2
30	230.0/425.0	463.6
31	230.0/490.0	232.7
32	230.0/510.0	227.8
33	230.0/525.0	143.7
34	235.0/400.0	555.4
35	240.0/410.0	514.9
36	240.0/425.0	474.3
37	240.0/480.0	310.6
38	240.0/500.0	236.3
39	240.0/545.0	100.4
40	245.0/370.0	478.0
41	245.0/395.0	483.5
42	245.0/445.0	461.3
43	245.0/535.0	122.4
44	250.0/295.0	267.3
45	250.0/420.0	495.5
46	250.0/515.0	208.0
47	255.0/360.0	373.5
48	255.0/415.0	482.9
49	255.0/440.0	511.1
50	255.0/460.0	431.2
51	255.0/530.0	157.2
52	260.0/285.0	242.7
53	260.0/430.0	506.7
54	265.0/405.0	460.8
55	270.0/400.0	451.5
56	270.0/465.0	393.7
57	275.0/305.0	846.7
58	275.0/345.0	537.4
59	275.0/370.0	504.0
60	275.0/380.0	469.2
61	275.0/480.0	338.8
62	280.0/310.0	994.5
63	280.0/335.0	596.6
64	280.0/355.0	533.2
65	280.0/375.0	511.5
66	280.0/410.0	478.3
67	280.0/430.0	485.7
68	280.0/490.0	293.3
69	285.0/315.0	987.2
70	285.0/395.0	476.3
71	285.0/415.0	468.9
72	285.0/425.0	472.5
73	290.0/320.0	834.2
74	290.0/400.0	465.6
75	295.0/430.0	435.1
76	300.0/335.0	564.1
77	305.0/340.0	580.6
78	310.0/345.0	533.7
79	310.0/420.0	442.9
80	315.0/350.0	470.0
81	315.0/405.0	457.9
82	320.0/360.0	479.7
83	320.0/400.0	444.5
84	320.0/430.0	422.5
85	325.0/365.0	487.7
86	325.0/405.0	446.7
87	325.0/435.0	428.4
88	330.0/370.0	495.2
89	335.0/375.0	476.1
90	340.0/385.0	478.8
91	340.0/425.0	435.4
92	345.0/390.0	464.6
93	350.0/395.0	454.1
94	355.0/405.0	429.1
95	360.0/410.0	436.1
96	365.0/415.0	433.3
97	370.0/420.0	395.2
98	375.0/430.0	360.3
99	380.0/435.0	312.4
100	390.0/450.0	244.8
101	395.0/455.0	229.7
102	400.0/300.0	6.445
103	405.0/470.0	162.9
104	410.0/475.0	144.4
105	415.0/480.0	122.2
106	420.0/490.0	108.5
107	425.0/330.0	6.415
108	425.0/495.0	104.5
109	430.0/315.0	5.800
110	430.0/340.0	6.691
111	430.0/500.0	90.06
112	435.0/335.0	6.163
113	440.0/370.0	6.924
114	440.0/515.0	66.41
115	445.0/520.0	57.03

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	81.29	81.80	66.12	42.20	48.27	39.27	46.91	13.63	25.99	57.00	62.21	85.29	81.50	33.14	16.81	 1687	9999.9	 4057	102.3	19.12	14.51	16.96	11.00	11.45	10.10	5.940	8.062	7.841	5.455	8.232	6.474	6.612	6.203	5.453	4.416	6.838	3.624	4.461	4.204	3.566	2.788	2.952	1.753	2.576	1.569	1.336	1.566	1.730	1.472	2.115	1.390
285.0	234.9	198.2	124.2	175.0	209.1	156.5	115.3	78.32	69.43	131.5	176.5	180.5	242.7	141.3	51.70	146.1	 3946	9999.9	9999.9	798.5	29.08	22.22	19.75	11.83	11.01	6.771	7.213	8.615	6.235	6.470	5.988	7.098	6.550	5.160	6.630	3.798	3.831	3.576	3.879	3.614	3.807	2.834	3.755	2.667	1.862	1.872	1.804	2.792	3.353	2.294	2.732
290.0	464.2	268.3	249.8	294.2	359.9	345.8	254.3	145.9	123.2	177.3	244.8	242.1	227.9	329.2	157.9	117.5	333.4	 8472	9999.9	9999.9	982.9	33.12	32.63	21.77	15.68	13.43	10.19	11.00	8.480	7.570	6.880	6.255	6.397	6.149	7.034	4.934	4.681	4.972	4.185	5.023	4.579	3.818	3.376	3.615	2.858	3.195	2.911	3.106	3.190	3.364	2.991
