Sample:	'SLABO1-5-5-320
File name:	3N7.FD3
Run Date:	15:30:08, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/305.0	435.7
2	205.0/470.0	141.8
3	205.0/500.0	96.14
4	205.0/515.0	96.33
5	210.0/385.0	263.2
6	210.0/415.0	253.6
7	210.0/460.0	174.7
8	210.0/540.0	59.07
9	215.0/485.0	142.3
10	220.0/300.0	568.7
11	220.0/535.0	79.71
12	225.0/320.0	554.2
13	225.0/330.0	614.6
14	225.0/445.0	372.3
15	230.0/325.0	569.1
16	230.0/335.0	546.8
17	230.0/360.0	462.3
18	230.0/370.0	451.2
19	230.0/490.0	251.3
20	230.0/540.0	112.8
21	235.0/345.0	540.2
22	235.0/375.0	442.0
23	235.0/390.0	457.2
24	235.0/405.0	504.9
25	235.0/430.0	523.2
26	240.0/380.0	465.5
27	240.0/400.0	514.6
28	240.0/450.0	466.0
29	245.0/330.0	368.5
30	245.0/370.0	481.5
31	245.0/395.0	506.9
32	245.0/440.0	520.1
33	245.0/540.0	124.0
34	250.0/300.0	240.1
35	250.0/415.0	559.6
36	250.0/425.0	545.4
37	250.0/445.0	505.5
38	255.0/360.0	431.0
39	255.0/400.0	537.0
40	255.0/440.0	533.9
41	260.0/395.0	519.8
42	260.0/420.0	561.3
43	260.0/460.0	497.6
44	260.0/495.0	327.0
45	265.0/290.0	374.2
46	265.0/380.0	479.1
47	265.0/435.0	531.6
48	265.0/445.0	560.5
49	270.0/375.0	491.8
50	270.0/425.0	551.9
51	275.0/305.0	735.2
52	275.0/335.0	445.0
53	275.0/380.0	482.1
54	275.0/400.0	540.9
55	275.0/415.0	552.0
56	275.0/440.0	549.2
57	275.0/460.0	498.4
58	280.0/310.0	834.7
59	280.0/340.0	443.0
60	280.0/365.0	474.2
61	280.0/390.0	513.8
62	280.0/405.0	536.2
63	285.0/315.0	837.3
64	285.0/350.0	446.0
65	285.0/370.0	470.3
66	290.0/320.0	730.0
67	295.0/325.0	578.8
68	300.0/335.0	566.0
69	300.0/540.0	105.7
70	305.0/340.0	552.2
71	310.0/345.0	495.0
72	310.0/410.0	441.4
73	310.0/430.0	422.0
74	315.0/350.0	476.9
75	320.0/360.0	469.0
76	320.0/415.0	452.0
77	325.0/365.0	491.2
78	325.0/420.0	447.2
79	330.0/370.0	483.7
80	330.0/440.0	408.4
81	330.0/500.0	164.3
82	335.0/375.0	454.9
83	340.0/385.0	438.8
84	340.0/415.0	420.3
85	340.0/430.0	420.9
86	345.0/390.0	442.3
87	350.0/395.0	445.1
88	355.0/405.0	431.6
89	360.0/410.0	429.5
90	365.0/415.0	414.4
91	370.0/300.0	3.651
92	370.0/420.0	397.4
93	375.0/430.0	355.8
94	380.0/435.0	318.7
95	390.0/305.0	3.142
96	390.0/450.0	235.5
97	395.0/455.0	221.6
98	400.0/300.0	3.308
99	405.0/310.0	3.288
100	405.0/470.0	170.2
101	410.0/475.0	155.6
102	415.0/350.0	3.495
103	415.0/480.0	127.4
104	420.0/310.0	2.996
105	420.0/340.0	3.581
106	425.0/495.0	102.1
107	440.0/515.0	72.67
108	445.0/310.0	3.795
109	445.0/520.0	58.80

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	32.56	38.38	38.26	29.00	59.01	69.65	36.72	25.20	17.74	25.68	56.43	94.33	49.30	18.95	19.49	567.4	 3115	 1514	52.88	6.232	7.085	5.057	2.926	3.173	1.931	2.768	2.152	2.998	1.139	1.857	1.553	3.181	1.359	1.374	1.510	2.156	1.185	0.834	1.409	0.863	1.281	1.034	1.013	0.903	0.714	0.794	1.110	0.565	0.784	0.583	0.817
285.0	182.9	95.87	75.55	116.3	144.8	151.1	103.2	42.13	49.28	62.74	137.8	140.2	202.4	116.3	51.31	72.23	 1182	 9040	 5168	353.0	9.497	8.281	7.638	4.992	4.102	2.541	3.044	3.494	2.127	2.256	1.899	2.361	2.213	1.349	1.089	1.749	1.706	1.467	1.202	1.438	0.971	1.000	0.718	1.436	0.738	0.841	0.994	1.268	1.387	0.928	0.723
290.0	296.3	170.8	236.2	261.6	332.2	343.2	189.0	113.7	60.64	117.6	137.4	162.4	214.9	374.2	172.9	95.45	125.9	 3023	9999.9	 8418	485.1	11.81	7.621	6.162	6.440	4.992	2.880	2.646	2.308	3.066	1.979	2.123	3.250	2.276	2.272	2.106	1.690	1.866	1.054	1.822	1.766	0.950	1.339	0.975	0.969	1.346	1.476	1.181	1.725	1.972	1.841
295.0	439.9	299.2	214.2	305.4	394.5	470.3	270.5	146.6	114.2	134.1	149.9	196.9	183.6	350.3	491.0	205.2	124.0	277.1	 4392	9999.9	9999.9	610.5	13.76	11.01	8.265	8.505	4.662	5.687	3.018	2.366	3.044	4.435	3.090	2.139	2.838	2.302	2.269	2.569	2.303	2.964	1.455	2.127	2.055	1.909	1.583	1.276	1.642	1.699	2.080	3.101	1.724
300.0	480.2	308.1	280.8	390.8	568.7	528.7	408.2	265.1	131.5	158.9	240.1	197.6	228.0	254.6	513.0	524.5	212.2	154.5	357.8	 5544	9999.9	9999.9	632.9	13.05	14.21	8.150	7.265	5.907	3.578	4.033	3.514	3.958	2.354	3.447	3.651	2.150	2.493	2.908	2.784	1.762	3.308	2.575	1.404	1.538	1.484	1.458	2.056	2.119	2.442	3.168	2.744
305.0	416.9	435.7	321.6	375.3	471.7	489.4	411.6	285.1	222.8	189.8	203.4	223.7	244.0	258.1	321.1	735.2	547.6	210.0	146.8	413.7	 6204	9999.9	9999.9	696.1	20.67	11.99	9.897	9.900	4.594	4.525	4.418	4.160	3.131	3.705	2.185	2.207	2.078	2.350	3.142	2.615	2.159	1.848	1.938	1.877	2.336	1.324	2.496	1.976	1.946	3.033	2.243
310.0	381.7	332.7	292.4	284.3	413.4	471.6	405.3	358.2	247.0	224.5	220.2	244.1	260.9	284.4	308.6	409.3	834.7	457.5	174.5	113.0	444.7	 5572	9999.9	9999.9	714.4	19.15	13.87	13.78	9.558	5.043	5.714	4.234	3.580	3.503	2.338	2.178	2.127	1.967	1.556	1.771	2.478	3.288	1.486	1.699	2.996	1.738	2.062	3.034	3.028	3.795	2.020
315.0	330.8	327.2	245.9	299.8	414.0	469.1	463.2	316.3	294.4	265.1	253.2	257.7	281.5	307.5	330.0	352.6	477.3	837.3	328.2	126.2	95.81	397.8	 6716	9999.9	9999.9	702.8	20.76	18.46	9.458	8.235	8.723	6.701	3.764	4.333	3.380	2.231	2.722	2.229	2.545	2.095	1.823	2.559	2.293	1.632	1.806	1.453	1.832	1.683	2.278	2.257	1.932
320.0	314.4	308.1	232.6	264.3	415.1	554.2	466.6	361.6	294.1	271.7	287.2	310.7	305.3	307.1	339.1	365.5	376.5	550.7	730.0	227.6	94.92	90.11	481.5	 6441	9999.9	9999.9	611.0	25.27	12.44	12.37	10.49	8.204	5.221	4.099	2.632	2.934	2.184	2.961	2.101	2.691	2.618	2.319	2.441	2.157	2.653	1.982	2.065	1.655	2.558	2.781	2.380
325.0	241.5	236.7	275.6	328.4	354.6	486.9	569.1	389.2	390.1	335.9	343.4	306.3	327.8	350.4	367.4	381.9	374.0	371.1	559.5	578.8	170.2	90.34	97.86	461.9	 6589	9999.9	9999.9	650.8	20.37	16.53	14.43	12.63	7.098	4.567	3.093	3.262	2.809	3.412	3.473	2.892	1.616	2.267	1.239	1.725	1.776	2.076	1.939	1.579	1.821	2.967	2.226
330.0	193.9	272.5	219.3	292.3	433.4	614.6	483.8	430.6	353.7	368.5	357.6	348.5	342.6	317.6	381.9	423.6	413.5	367.6	357.0	569.3	436.5	122.9	86.78	93.65	465.1	 6799	9999.9	9999.9	599.9	24.16	19.33	18.24	9.696	8.028	5.083	3.557	2.787	2.505	3.138	2.521	2.170	2.930	1.945	2.145	1.735	1.690	1.917	1.507	2.050	2.900	2.639
335.0	278.1	243.2	305.5	225.0	336.5	449.8	546.8	455.4	376.5	353.8	356.9	326.6	314.5	330.4	371.2	445.0	422.2	403.0	338.8	311.9	566.0	354.4	111.4	80.97	85.65	474.0	 6412	9999.9	9999.9	593.1	31.21	26.76	13.88	9.958	5.710	5.516	3.546	3.755	2.664	2.663	2.750	2.647	2.253	1.724	2.370	1.794	2.574	2.699	2.275	1.902	2.549
340.0	239.8	208.8	269.2	205.3	378.3	403.4	532.6	464.8	427.1	350.6	348.9	314.6	298.4	354.7	367.7	430.2	443.0	404.8	393.1	271.5	297.6	552.2	266.4	108.2	80.02	94.66	451.5	 6434	9999.9	9999.9	700.3	39.26	15.71	12.64	9.273	6.034	5.914	3.790	3.749	2.493	2.485	1.885	2.172	2.672	3.581	1.925	2.237	1.813	2.304	2.323	2.656
345.0	142.4	223.7	210.9	207.2	339.7	425.9	530.5	540.2	418.1	379.9	367.4	335.4	339.1	341.8	373.9	422.5	441.7	428.3	380.0	278.0	232.9	312.6	495.0	213.8	96.42	80.39	92.46	454.5	 5578	9999.9	9999.9	958.9	25.00	16.16	12.60	10.85	5.987	3.468	4.349	3.129	3.749	2.166	2.209	2.326	2.548	2.924	0.910	2.197	2.163	2.115	2.598
350.0	185.8	177.2	134.6	170.1	307.9	445.5	421.0	463.5	421.8	383.4	353.6	345.5	352.8	392.4	396.5	437.6	437.0	446.0	383.9	306.4	241.2	222.3	376.7	476.9	176.5	100.8	84.12	94.90	400.1	 5316	9999.9	9999.9	625.0	26.27	21.22	14.48	7.632	7.365	5.671	2.960	2.447	3.167	2.697	3.495	2.081	1.578	1.633	1.702	1.836	2.493	2.490
355.0	155.8	151.9	208.6	211.2	339.0	397.2	428.6	458.8	446.4	438.6	379.3	371.2	356.9	377.3	398.7	455.9	449.1	421.8	428.0	346.3	276.5	243.8	235.3	410.0	425.4	164.0	111.4	95.36	96.70	390.4	 6154	9999.9	9999.9	654.7	26.49	17.75	11.38	7.937	5.384	5.492	4.278	3.420	2.403	3.208	1.715	2.379	1.854	2.432	2.167	2.139	2.960
