Sample:	'SLABO1-5-5-320
File name:	3P4.FD3
Run Date:	16:07:47, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/510.0	129.1
2	210.0/450.0	348.5
3	210.0/505.0	169.6
4	210.0/535.0	117.4
5	215.0/465.0	316.3
6	215.0/520.0	134.6
7	220.0/300.0	845.7
8	220.0/505.0	203.3
9	220.0/540.0	93.23
10	225.0/295.0	724.5
11	225.0/475.0	370.9
12	230.0/340.0	 1279
13	230.0/390.0	675.9
14	230.0/480.0	332.9
15	230.0/515.0	189.9
16	235.0/415.0	716.2
17	235.0/425.0	672.3
18	240.0/385.0	760.2
19	240.0/440.0	588.7
20	245.0/545.0	125.4
21	250.0/290.0	684.8
22	250.0/375.0	738.0
23	250.0/400.0	794.6
24	250.0/420.0	750.1
25	250.0/435.0	702.2
26	250.0/450.0	666.6
27	250.0/525.0	191.7
28	255.0/395.0	760.3
29	255.0/440.0	703.1
30	260.0/370.0	756.2
31	260.0/380.0	749.8
32	260.0/415.0	734.4
33	260.0/450.0	689.9
34	265.0/375.0	744.1
35	265.0/395.0	759.2
36	265.0/425.0	736.0
37	265.0/440.0	664.8
38	265.0/505.0	335.6
39	270.0/370.0	737.4
40	270.0/385.0	780.7
41	270.0/410.0	725.4
42	270.0/435.0	668.1
43	270.0/520.0	250.1
44	275.0/305.0	812.2
45	275.0/380.0	736.7
46	275.0/400.0	734.7
47	275.0/415.0	702.6
48	275.0/430.0	676.5
49	280.0/310.0	887.1
50	285.0/315.0	895.2
51	285.0/340.0	569.7
52	290.0/320.0	768.0
53	295.0/330.0	679.2
54	300.0/335.0	662.4
55	300.0/390.0	586.5
56	305.0/340.0	636.9
57	305.0/410.0	578.6
58	310.0/345.0	605.3
59	315.0/350.0	543.5
60	315.0/415.0	553.4
61	320.0/360.0	566.0
62	320.0/400.0	553.5
63	325.0/365.0	586.0
64	325.0/410.0	550.5
65	330.0/370.0	576.2
66	330.0/420.0	529.5
67	335.0/375.0	571.7
68	335.0/415.0	544.5
69	340.0/385.0	556.6
70	340.0/420.0	533.4
71	340.0/430.0	515.6
72	345.0/390.0	565.8
73	350.0/395.0	548.9
74	350.0/420.0	604.4
75	350.0/440.0	578.9
76	355.0/405.0	505.6
77	360.0/410.0	502.4
78	365.0/415.0	487.5
79	370.0/300.0	4.288
80	370.0/425.0	434.4
81	375.0/430.0	420.5
82	380.0/435.0	372.2
83	390.0/450.0	278.9
84	395.0/455.0	245.6
85	400.0/300.0	4.211
86	400.0/460.0	212.4
87	405.0/470.0	185.1
88	410.0/335.0	4.260
89	410.0/475.0	158.8
90	415.0/480.0	134.8
91	420.0/315.0	4.247
92	425.0/290.0	3.260
93	425.0/350.0	4.191
94	425.0/495.0	105.8
95	430.0/355.0	4.105
96	430.0/500.0	97.18
97	435.0/290.0	3.504
98	435.0/335.0	3.508
99	440.0/305.0	4.310
100	440.0/320.0	3.628
101	440.0/515.0	71.00
102	445.0/345.0	4.893
103	445.0/520.0	65.09

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	131.3	78.02	67.58	73.07	76.58	47.59	31.70	30.65	81.08	150.2	221.2	222.7	134.9	55.62	27.99	481.6	 3087	 1384	49.86	8.343	4.678	4.175	5.542	2.856	3.135	1.807	3.162	3.049	2.427	1.788	2.446	1.863	1.610	2.939	2.078	1.445	1.588	1.239	1.103	1.549	1.260	1.053	0.906	0.895	1.209	1.502	1.151	0.732	1.074	0.863	0.999
285.0	448.1	350.4	250.4	321.3	356.2	260.6	156.7	73.27	172.1	360.5	506.6	492.3	444.7	214.5	93.04	88.86	 1113	 8859	 5086	315.6	7.321	7.744	9.290	5.366	4.013	2.208	3.419	2.289	2.202	2.693	3.063	2.282	2.256	3.114	1.642	1.889	2.535	1.486	1.795	2.168	2.574	1.850	1.601	0.828	1.831	1.703	1.309	1.547	2.008	1.800	1.283
290.0	695.7	635.9	564.1	518.8	559.2	479.0	238.8	131.4	220.2	486.6	684.8	632.3	482.9	490.0	234.8	110.3	124.1	 2928	9999.9	 8320	423.9	11.54	11.21	6.308	5.733	3.963	3.384	2.337	3.166	3.221	2.233	1.822	2.244	2.898	1.840	2.181	1.436	1.537	2.578	2.941	2.473	1.987	2.203	1.105	2.370	3.260	2.100	3.504	3.000	2.585	2.449
295.0	 1200	733.1	654.0	704.7	720.6	724.5	389.3	208.6	267.4	483.1	677.2	613.7	443.7	466.9	552.4	232.8	138.0	280.6	 4367	9999.9	9999.9	479.0	15.42	10.32	7.277	6.087	3.990	4.015	2.545	2.734	3.171	2.227	3.524	2.968	2.788	2.268	2.457	2.324	3.353	3.156	3.305	2.535	2.173	1.925	2.807	2.076	3.016	3.024	3.313	3.810	3.911
300.0	 1129	742.1	661.2	838.6	845.7	700.4	447.6	292.2	336.7	520.8	635.8	547.2	429.9	335.3	587.5	608.7	234.8	162.3	361.8	 6414	9999.9	9999.9	504.7	15.99	12.61	7.610	6.771	5.389	3.568	4.795	4.261	3.324	2.658	1.558	4.288	3.072	2.777	3.301	2.668	4.009	4.211	3.031	2.617	2.892	3.055	3.168	2.515	3.358	3.159	4.549	2.821
305.0	 1094	884.1	593.2	698.3	840.6	679.4	494.0	373.3	326.8	374.9	483.7	428.2	376.9	333.8	368.4	812.2	585.9	240.0	135.7	469.0	 5981	9999.9	9999.9	553.5	20.37	13.19	12.14	6.764	5.172	3.791	5.205	3.590	2.815	2.525	3.116	3.160	2.200	2.784	2.524	3.529	2.287	3.466	2.497	2.600	2.746	3.207	2.958	2.770	4.310	3.913	3.407
310.0	954.8	740.6	641.3	612.1	645.2	657.4	482.7	344.6	280.3	383.1	369.4	380.5	361.2	322.9	329.2	483.1	887.1	477.8	170.5	126.6	443.1	 5798	9999.9	9999.9	558.2	18.53	14.03	10.28	9.049	7.878	6.601	3.048	4.358	3.796	3.820	2.987	2.838	2.723	2.897	3.591	3.133	3.576	3.308	1.977	2.068	2.940	2.366	2.991	2.205	2.854	3.211
315.0	732.9	695.2	620.8	600.0	569.6	579.4	464.0	342.4	291.0	265.7	339.9	321.9	324.8	301.1	359.6	386.0	557.9	895.2	363.2	120.6	119.5	428.4	 6909	9999.9	9999.9	473.2	24.59	11.70	12.99	8.729	9.841	5.531	4.042	3.300	3.798	3.390	2.501	2.115	2.531	3.851	3.604	2.583	3.018	3.523	4.247	2.785	2.274	1.903	3.279	3.205	3.240
320.0	564.7	525.5	540.1	485.7	631.3	741.7	651.2	508.9	320.5	265.6	292.1	307.5	338.1	340.7	378.5	410.0	404.1	605.9	768.0	271.4	124.8	114.6	497.5	 6607	9999.9	9999.9	480.8	18.33	17.19	14.08	12.09	5.539	4.538	4.857	3.473	4.524	2.498	2.690	3.000	2.824	2.173	2.719	2.230	3.209	2.590	2.387	3.606	3.369	3.628	3.487	2.947
325.0	612.3	493.5	570.0	567.6	759.9	891.5	958.6	752.5	432.3	280.9	275.2	294.8	351.7	391.5	460.1	463.9	469.4	461.9	684.6	652.2	223.5	126.9	126.4	486.1	 6750	9999.9	9999.9	484.6	18.33	18.22	14.73	7.613	7.981	5.224	4.134	4.090	2.547	2.430	3.271	2.232	3.279	2.731	3.199	2.484	2.811	2.480	2.836	3.183	3.163	3.727	3.957
330.0	303.8	429.9	410.9	549.1	688.4	990.6	 1099	921.0	488.0	312.5	304.7	309.7	379.2	391.0	471.8	493.6	518.0	456.6	424.1	679.2	559.9	171.4	113.4	109.7	500.6	 5795	9999.9	9999.9	479.0	26.81	26.06	12.73	9.356	7.282	5.070	4.820	4.486	3.385	2.798	2.731	2.879	2.858	2.699	2.854	3.170	2.747	2.478	2.943	3.551	4.340	3.501
335.0	434.9	361.4	511.0	556.6	767.6	 1117	 1257	970.4	574.3	368.7	276.9	307.7	354.1	415.1	455.7	504.4	513.3	470.8	399.0	374.9	662.4	427.9	155.9	104.2	109.4	436.8	 7057	9999.9	9999.9	511.9	35.09	16.06	11.78	7.625	7.973	5.371	4.493	3.599	3.373	2.996	2.857	2.462	4.260	1.761	2.886	2.717	2.905	3.508	2.163	4.105	4.378
