ID,W-pH,W-DO,W-TN,W-NO_{2}^{-},W-NO_{3}^{-},W-NH_{4}^{+},W-COD,W-PO_{4}^{3-},W-TP,W-T
D-N1,8.1,10.66,8.58,0.2799,0.33,2.98,16.67,0.211,0.34,11.3
D-N2,8,10.02,8.78,0.0916,0.3,2.74,16.53,0.015,0.31,12.5
D-N3,8.1,10.58,8.46,0.1025,0.29,2.83,15.84,0.0665,0.29,14.7
D-N4,7.84,10.62,8.08,0.209,0.25,2.81,16.41,0.0969,0.31,13.8
D-N5,7.9,11.06,8.3,0.1807,0.26,2.79,15.92,0.0173,0.27,13.6
D-N6,8.05,11.64,8.32,0.1933,0.21,2.8,16.18,0.0752,0.39,13.7
D-P1,7.47,9.95,6.66,0.1199,0.2,2.31,14.97,0.0852,0.19,11.4
D-P2,7.5,9.96,6.79,0.0777,0.15,2.13,15.37,0.0773,0.2,11.3
D-P3,7.4,9.89,6.61,0.0257,0.17,2.07,14.86,0.1245,0.14,11.6
D-P4,6.73,10.06,6.6,0.07,0.18,1.97,14.96,0.0169,0.15,11.8
D-P5,7.42,10.16,6.49,0.0723,0.18,1.95,14.86,0.1041,0.09,12.7
D-P6,7.4,10.49,6.82,0.0472,0.16,1.99,15.06,0.0711,0.11,12.8
D-P7,7.5,10.62,6.96,0.0299,0.17,1.98,14.95,0.038,0.13,12.4
D-H1,8.7,9.56,4.18,0.1221,0.09,1.45,11.36,0.0836,0.11,11.7
D-H2,8.5,9.84,3.75,0.008,0.11,1.51,11.36,0.063,0.08,10.5
D-H3,8.34,9.68,4.2,0.0488,0.09,1.53,10.96,0.1717,0.09,11.5
D-H4,8.4,9.85,3.91,0.0385,0.12,1.47,10.96,0.1828,0.13,11.4
D-H5,8.8,9.42,3.65,0.1568,0.11,1.49,9.96,0.0884,0.09,11.9
L-N1,8.13,7.64,5.78,0.0228,0.109,0.928,8.41,0.013,0.21,19.4
L-N2,8.2,7.43,5.71,0.0206,0.105,0.888,8.2,0.016,0.15,19.7
L-N3,8.43,7.35,5.54,0.0234,0.13,0.809,8.59,0.015,0.24,18.7
L-N4,8.44,7.16,5.72,0.0236,0.141,1.061,8.01,0.015,0.09,19.7
L-N5,8.3,7.59,5.78,0.0228,0.107,0.689,8.19,0.018,0.26,19.3
L-N6,8.39,8.14,5.38,0.0242,0.132,0.742,8.54,0.016,0.13,18.9
L-N7,8.65,7.98,5.36,0.0255,0.151,0.981,8.32,0.018,0.24,20.5
L-N8,8.38,7.82,5.7,0.0326,0.15,0.53,8.23,0.019,0.2,19.9
L-N9,8.17,7.32,4.97,0.0284,0.126,0.703,8.26,0.013,0.16,19.7
L-N10,8.25,7.52,5.49,0.0222,0.123,0.875,8.46,0.01,0.15,19.3
L-N11,8.19,7.22,5.44,0.0234,0.445,0.954,8.58,0.018,0.15,20
L-N12,8.17,7.32,5.09,0.0232,0.345,0.981,8.44,0.018,0.17,20.1
L-P1,9.11,8.02,4.71,0.0257,0.134,1,7.92,0.011,0.06,19
L-P2,9.1,8.37,4.95,0.0288,0.117,0.88,7.88,0.013,0.11,19.3
L-P3,8.55,8.28,4.96,0.0236,0.114,1.07,7.98,0.014,0.09,19.8
L-P4,8.37,8.66,4.86,0.0218,0.113,0.51,7.92,0.012,0.08,19.5
L-P5,8.34,8.16,4.79,0.0247,0.117,0.8,7.9,0.015,0.02,20
L-P6,8.25,8.08,4.85,0.022,0.098,0.81,7.68,0.014,0.12,19.5
L-P7,8.3,8.59,4.77,0.0234,0.098,1.14,8.02,0.009,0.13,19.9
L-P8,8.32,8.58,5.06,0.0227,0.088,0.56,7.94,0.013,0.12,20.1
L-P9,8.29,8.36,4.86,0.0211,0.098,1,7.74,0.012,0.05,18.8
L-P10,7.73,8.18,4.57,0.0233,0.123,0.95,7.94,0.011,0.04,19.9
L-P11,7.49,8.35,4.57,0.0256,0.122,0.88,7.84,0.012,0.08,20.5
L-P12,7.37,8.35,4.5,0.0234,0.131,1.02,8.06,0.016,0.11,19.9
L-H1,7.06,8.02,1.63,0.0195,0.09,0.39,6.72,0.014,0.04,19.1
L-H2,7.98,8.37,2.18,0.0195,0.07,0.19,6.9,0.009,0.06,19.7
L-H3,7.84,8.28,2.35,0.0203,0.074,0.35,7.12,0.01,0.08,19.3
L-H4,7.62,8.66,1.73,0.0201,0.138,0.2,7.04,0.009,0.09,19.6
L-H5,7.86,8.6,2.03,0.019,0.174,0.31,6.88,0.009,0.07,19.7
L-H6,7.87,8.43,1.9,0.0193,0.121,0.18,7.02,0.008,0.08,19.6
L-H7,7.38,8.43,2,0.0232,0.128,0.27,7.06,0.006,0.08,19.7
L-H8,7.26,8.64,1.59,0.0195,0.121,0.15,6.88,0.007,0.06,18.4
L-H9,7.84,8.61,2.3,0.02,0.125,0.43,7.12,0.008,0.09,19.2
L-H10,7.35,8.27,2.25,0.0195,0.109,0.22,7.18,0.01,0.03,19.5
L-H11,7.95,8.48,1.9,0.0236,0.114,0.27,7.06,0.011,0.02,19.5
L-H12,7.98,8.77,2.22,0.0195,0.084,0.3,3.52,0.011,0.04,20.3
W-N1,8.4,8.21,3.86,0.3291,0.1024607,1.0177,9.27,0.0333,1.2695971,21.2
W-N2,8.29,8.11,3.83,0.306,0.1790345,2.6736,7.93,0.0137,1.954442009,21.2
W-N3,8.5,8.01,4.54,0.2957,0.2683706,2.1649,8.81,0.0178,0.584752192,21.4
