ID,W-pH,W-DO,W-TN,W-NO_{2}^{-},W-NO_{3}^{-},W-NH_{4}^{+},W-COD,W-PO_{4}^{3-},W-TP,W-T
D-N1,8.1,10.66,3.9899,0.2799,0.33,2.98,11.77,0.211,0.34,11.3
D-N2,8,10.02,3.74,0.0916,0.3,2.74,11.63,0.015,0.31,12.5
D-N3,8.1,10.58,3.62,0.1025,0.29,2.8275,12.94,0.0665,0.29,14.7
D-N4,7.84,10.62,3.86,0.209,0.25,2.81,12.51,0.0969,0.31,13.8
D-N5,7.9,11.06,3.75,0.1807,0.26,2.79,14.02,0.0173,0.27,13.6
D-N6,8.05,11.64,3.61,0.1933,0.21,2.8,11.28,0.0752,0.39,13.7
D-P1,7.47,9.95,3.91,0.1199,0.2,2.31,11.07,0.0852,0.19,11.4
D-P2,7.5,9.96,3.48,0.0777,0.15,2.13,11.47,0.0773,0.2,11.3
D-P3,7.4,9.89,3.74,0.0257,0.17,2.07,10.96,0.1245,0.14,11.6
D-P4,6.73,10.06,3.65,0.07,0.18,1.97,11.06,0.0169,0.15,11.8
D-P5,7.42,10.16,3.33,0.0723,0.18,1.95,10.96,0.1041,0.09,12.7
D-P6,7.4,10.49,3.25,0.0472,0.16,1.99,10.16,0.0711,0.11,12.8
D-P7,7.5,10.62,3.25,0.0299,0.17,1.98,11.05,0.038,0.13,12.4
D-H1,8.7,9.56,2.74,0.1221,0.09,1.45,10.96,0.0836,0.11,11.7
D-H2,8.5,9.84,2.72,0.008,0.11,1.51,10.96,0.063,0.08,10.5
D-H3,8.34,9.68,2.92,0.0488,0.09,1.53,10.56,0.1717,0.09,11.5
D-H4,8.4,9.85,2.69,0.0385,0.12,1.47,10.56,0.1828,0.13,11.4
D-H5,8.8,9.42,3,0.1568,0.11,1.49,9.56,0.0884,0.09,11.9
L-N1,8.13,7.64,2.822868005,0.0291,0.109,2.028,9.91,0.013,0.21,19.4
L-N2,8.2,7.43,2.724786305,0.006,0.105,1.988,9.7,0.016,0.15,19.7
L-N3,8.43,7.35,2.5609045,0,0.13,1.909,10.09,0.015,0.24,18.7
L-N4,8.44,7.16,2.5260088,0.255,0.141,2.161,9.51,0.015,0.09,19.7
L-N5,8.3,7.59,2.4963,0.0779,0.107,1.789,9.69,0.018,0.26,19.3
L-N6,8.39,8.14,2.457937755,0.0122,0.132,1.842,10.04,0.016,0.13,18.9
L-N7,8.65,7.98,2.32997365,0,0.151,2.081,9.82,0.018,0.24,20.5
L-N8,8.38,7.82,2.320129005,0.0987,0.15,1.63,9.73,0.019,0.2,19.9
L-N9,8.17,7.32,2.20752475,0.0314,0.126,1.803,9.76,0.013,0.16,19.7
L-N10,8.25,7.52,,0.0889,0.123,,9.96,0.01,0.15,19.3
L-N11,8.19,7.22,,0.054,0.445,,10.08,0.018,0.15,20
L-N12,8.17,7.32,,0.034,0.345,,9.94,0.018,0.17,20.1
L-P1,9.11,8.02,2.3744,0.0203,0.134,2,9.42,0.011,0.06,19
L-P2,9.1,8.37,2.349181005,0.0195,0.117,1.88,9.38,0.013,0.11,19.3
L-P3,8.55,8.28,2.14478645,0.0264,0.114,2.07,9.48,0.014,0.09,19.8
L-P4,8.37,8.66,2.2191,0.0959,0.113,1.51,9.42,0.012,0.08,19.5
L-P5,8.34,8.16,2.114265555,0.099,0.117,1.8,9.4,0.015,0.02,20
