Size (µm),D-N1,D-N2,D-N3,D-N4,D-N5,D-N6,D-P1,D-P2,D-P3,D-P4,D-P5,D-P6,D-P7,D-H1,D-H2,D-H3,D-H4,D-H5,L-N1,L-N2,L-N3,L-N4,L-N5,L-N6,L-N7,L-N8,L-N9,L-N10,L-N11,L-N12,L-P1,L-P2,L-P3,L-P4,L-P5,L-P6,L-P7,L-P8,L-P9,L-P10,L-P11,L-P12,L-H1,L-H2,L-H3,L-H4,L-H5,L-H6,L-H7,L-H8,L-H9,L-H10,L-H11,L-H12,W-N1,W-N2,W-N3,W-N4,W-N5,W-N6,W-N7,W-N8,W-N9,W-N10,W-N11,W-N12,W-P1,W-P2,W-P3,W-P4,W-P5,W-P6,W-P7,W-P8,W-P9,W-P10,W-P11,W-P12,W-H1,W-H2,W-H3,W-H4,W-H5,W-H6,W-H7,W-H8,W-H9,W-H10,W-H11,W-H12
0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
