Gene,10^,CT
Bacterial 16S rRNA,12,6.75322557
Bacterial 16S rRNA,12,6.19748586
Bacterial 16S rRNA,12,6.54699365
Bacterial 16S rRNA,11,8.6538979
Bacterial 16S rRNA,11,8.81324459
Bacterial 16S rRNA,11,8.61298085
Bacterial 16S rRNA,10,13.63047981
Bacterial 16S rRNA,10,13.54341262
Bacterial 16S rRNA,10,13.70104694
Bacterial 16S rRNA,9,16.11228893
Bacterial 16S rRNA,9,16.81899834
Bacterial 16S rRNA,9,16.76159922
Bacterial 16S rRNA,8,19.28471088
Bacterial 16S rRNA,8,19.99807644
Bacterial 16S rRNA,8,19.33322669
Bacterial 16S rRNA,7,24.61229099
Bacterial 16S rRNA,7,24.58579922
Bacterial 16S rRNA,7,24.54409409
Bacterial 16S rRNA,6,27.56756537
Bacterial 16S rRNA,6,27.05054474
Bacterial 16S rRNA,6,27.25966072
Bacterial 16S rRNA,5,32.71963882
Bacterial 16S rRNA,5,31.8322773
Bacterial 16S rRNA,5,32.6670742
Archaeal 16S rRNA,12,6.96194562
Archaeal 16S rRNA,12,7.07612243
Archaeal 16S rRNA,12,7.23569174
Archaeal 16S rRNA,11,10.6538979
Archaeal 16S rRNA,11,10.81324459
Archaeal 16S rRNA,11,10.61298085
Archaeal 16S rRNA,10,12.63047981
Archaeal 16S rRNA,10,12.54341262
Archaeal 16S rRNA,10,12.70104694
Archaeal 16S rRNA,9,17.11228893
Archaeal 16S rRNA,9,17.81899834
Archaeal 16S rRNA,9,17.76159922
Archaeal 16S rRNA,8,20.28471088
Archaeal 16S rRNA,8,19.99807644
Archaeal 16S rRNA,8,20.33322669
Archaeal 16S rRNA,7,23.61229099
Archaeal 16S rRNA,7,23.58579922
Archaeal 16S rRNA,7,23.54409409
Archaeal 16S rRNA,6,26.56756537
Archaeal 16S rRNA,6,26.05054474
Archaeal 16S rRNA,6,26.25966072
Archaeal 16S rRNA,5,28.71963882
Archaeal 16S rRNA,5,27.8322773
Archaeal 16S rRNA,5,28.6670742
AOA_amoA,9,4.96194562
AOA_amoA,9,5.07612243
AOA_amoA,9,5.07869174
AOA_amoA,8,9.6538979
AOA_amoA,8,9.81324459
AOA_amoA,8,9.61298085
AOA_amoA,7,12.63047981
AOA_amoA,7,12.54341262
AOA_amoA,7,12.70104694
AOA_amoA,6,16.11228893
AOA_amoA,6,16.81899834
AOA_amoA,6,16.76159922
AOA_amoA,5,21.28471088
AOA_amoA,5,21.99807644
AOA_amoA,5,21.33322669
AOA_amoA,4,23.61229099
AOA_amoA,4,23.58579922
AOA_amoA,4,23.54409409
AOA_amoA,3,26.56756537
AOA_amoA,3,26.05054474
AOA_amoA,3,26.25966072
AOA_amoA,2,29.71963882
AOA_amoA,2,29.8322773
AOA_amoA,2,29.6670742
AOB_amoA,9,7.96194562
AOB_amoA,9,7.07612243
AOB_amoA,9,7.07869174
AOB_amoA,8,9.6538979
AOB_amoA,8,9.81324459
AOB_amoA,8,9.61298085
AOB_amoA,7,12.63047981
AOB_amoA,7,12.54341262
AOB_amoA,7,12.70104694
AOB_amoA,6,16.11228893
AOB_amoA,6,16.81899834
AOB_amoA,6,16.76159922
AOB_amoA,5,20.28471088
AOB_amoA,5,20.99807644
AOB_amoA,5,20.33322669
AOB_amoA,4,24.61229099
AOB_amoA,4,24.58579922
AOB_amoA,4,24.54409409
AOB_amoA,3,27.56756537
AOB_amoA,3,27.05054474
AOB_amoA,3,27.25966072
AOB_amoA,2,31.71963882
AOB_amoA,2,30.8322773
AOB_amoA,2,31.6670742
nxrA,9,13.39793354
nxrA,9,12.53748297
nxrA,9,12.54062324
nxrA,8,19.13254188
nxrA,8,19.32729894
nxrA,8,19.08253215
nxrA,7,21.54836421
nxrA,7,21.44194876
nxrA,7,21.63461293
nxrA,6,26.02613091
nxrA,6,25.88988686
nxrA,6,25.81973238
nxrA,5,29.6813133
nxrA,5,29.33098232
nxrA,5,29.7406104
nxrA,4,32.52613343
nxrA,4,32.4937546
nxrA,4,32.44278167
nxrA,3,36.13813545
nxrA,3,35.50622135
nxrA,3,35.76180755
nxrA,2,36.54622522
nxrA,2,36.46167226
nxrA,2,36.48197958
narG,9,12.73264635
narG,9,12.79175923
narG,9,12.44888051
narG,8,15.55569975
narG,8,15.71125645
narG,8,16.07108909
narG,7,17.82979853
narG,7,17.57805385
narG,7,17.05523372
narG,6,21.6146536
narG,6,21.18130724
narG,6,20.8878184
narG,5,25.28471088
narG,5,24.99807644
narG,5,25.33322669
narG,4,28.61229099
narG,4,28.58579922
narG,4,28.54409409
narG,3,31.56756537
narG,3,31.05054474
narG,3,31.25966072
narG,2,32.39931739
narG,2,31.99110815
narG,2,32.1613988
napA,9,12.6670742
napA,9,12.59223461
