ID,FI,BIX,HIX,β:α,Ⅰ-Area,Ⅰ-Ф,Ⅱ-Area,Ⅱ-Ф,Ⅲ-Area,Ⅲ-Ф,Ⅳ-Area,Ⅳ-Ф,Ⅴ-Area,Ⅴ-Ф,Ⅰ-P,Ⅱ-P,Ⅲ-P,Ⅳ-P,Ⅴ-P
D-N1,2.041316208229143,0.7633263904960271,1.402680568630896,0.6946622048533919,44512.967000000004,1201850.1090000002,58170.63,1570607.01,135312.287,1074538.7497058825,42775.19,288732.53250000003,458586.93499999994,703514.0480113636,0.2483550104406116,0.3245563797395701,0.22204689287260043,0.05966482058502832,0.14537689636218945
D-N2,2.0245776705194967,0.793398199508957,0.4425478498654865,0.7574113459785582,78852.01000000001,2129004.2700000005,96950.93000000001,2617675.1100000003,124054.10699999999,985135.5555882353,53403.9,360476.325,406425.185,623493.1815340909,0.3170149799101043,0.38977950119744476,0.1466895735082456,0.053675982025129146,0.09283996335907621
D-N3,1.793111144174974,0.7212224769650041,1.5731926301669297,0.6780470942291269,54188.16299999999,1463080.4009999998,66892.83,1806106.4100000001,169736.917,1347910.8114705882,48073.81,324498.21749999997,702980.995,1078436.7536931818,0.24303529561283893,0.3000160517238679,0.22390423814138433,0.05390306654511177,0.1791413479767971
D-N4,2.2483438797706152,0.6918202226171546,1.6445621017900807,0.6817134430158072,57662.225000000006,1556880.0750000002,74723.33000000002,2017529.9100000004,174797.45,1388097.3970588236,55447.17999999999,374268.46499999997,756914.825,1161176.1519886365,0.23959550258731127,0.3104870442711414,0.2136207527021292,0.05759791162736571,0.1786987888120525
D-N5,1.8870847098422987,0.8701253388443061,1.593886631986384,0.828456801165257,48195.28500000001,1301272.6950000003,79531.93,2147362.11,177928.387,1412960.7202941177,32505.729999999996,219413.67749999996,655137.135,1005039.9230113637,0.21381238765925642,0.35283351573600696,0.23216387036756198,0.036051907068850815,0.1651383191683238
D-N6,1.9103847884788479,0.7677830531673724,0.5971758833347428,0.7232799435881939,53503.897000000004,1444605.219,108899.33,2940281.91,194758.347,1546610.402647059,30084.79,203072.33250000002,376889.35500000004,578182.5332386364,0.21520311393618605,0.4380143547593239,0.23039884552413875,0.030251723954407617,0.08613196182594364
D-P1,2.0903286901270772,0.968483256730138,2.061321578764809,0.9051977159933828,48792.973,1317410.271,94539.72999999998,2552572.7099999995,187853.62699999998,1491778.8026470586,35330.52,238481.00999999998,683128.035,1047980.5082386364,0.1981597505346024,0.3839481007318137,0.22438758972249506,0.03587138986928395,0.15763316914180492
D-P2,1.8110725085247377,0.7671474916000462,0.8983498892225737,0.7644130168121797,66380.525,1792274.1749999998,98027.33,2646737.91,165782.057,1316504.5702941178,51958.57,350720.3475,574098.2250000001,880718.8678977274,0.256517174026824,0.37881131053113715,0.1884231981221542,0.050196445203148504,0.12605187211673616
D-P3,1.8971294775892475,0.7683449317714655,3.3565732641881807,0.744138634046891,34434.773,929738.871,64276.42999999999,1735463.6099999999,173495.057,1377754.8644117648,14734.29,99456.4575,627980.7050000001,963379.4906250002,0.18209489055832365,0.33990087538343144,0.2698414889133514,0.019479139045033074,0.18868360609986048
D-P4,1.823564439294451,0.7439783035057612,2.6183166094906887,0.7249395323837678,48666.333,1313990.991,100623.63,2716838.0100000002,253964.397,2016776.0938235295,26407.25,178248.9375,960137.2150000001,1472937.7730113638,0.1706749609840686,0.3528914768311258,0.26196007695986795,0.02315284553824173,0.19132063968669583
D-P5,1.7713615196984258,0.7169295439327431,2.635429819472409,0.7169295439327431,50149.182,1354027.914,104733.83,2827813.41,239003.697,1897970.535,24678.82,166582.035,830821.705,1274556.024715909,0.1800341617261002,0.37599152242231754,0.25235782122107925,0.022149068508681338,0.16946742612182167
D-P6,1.7700354719627134,0.6801499626146571,6.290823079628532,0.6667595804426826,28954.943,781783.461,91144.03,2460888.81,385754.627,3063345.5673529413,39042.68,263538.09,2712685.8049999997,4161506.632670454,0.07285238125808143,0.22932387133202128,0.2854652603069716,0.024558433845796816,0.38780005325712885
D-P7,1.8217877373792828,0.8654660020690305,2.7704182467800216,0.8411022758431589,28919.053,780814.431,77071.72999999998,2080936.7099999995,202224.887,1605903.5144117647,40762.95,275149.9125,1350923.105,2072438.8542613636,0.11456882500479011,0.30533563969699945,0.2356340654226701,0.04037271971897739,0.304088750156563
D-H1,1.908653846153846,0.909541819083638,1.152836056105295,0.8612693007690951,39645.106,1070417.862,41850.93,1129975.11,81933.25700000001,650646.452647059,23837.02,160899.885,254062.635,389755.17869318184,0.31467195706992473,0.3321800690429842,0.19127127814600517,0.04729992230387112,0.11457677343721472
D-H2,1.588900748192924,0.6148642842235781,5.405232296081027,0.6045353731951297,37177.024,1003779.6479999999,94122.43,2541305.61,412933.647,3279178.961470588,57563.87,388556.1225,2547258.005,3907725.3485795455,0.09026352446471922,0.22852346285124445,0.2948757239725317,0.034940382721522556,0.3513969059899821
D-H3,1.7461926562645986,0.8517920319950778,2.851256476745344,0.8196872976223517,30092.289,812491.8030000001,47648.53,1286510.31,139317.66700000002,1106346.1791176472,18649.559999999998,125884.52999999998,423951.425,650380.0269886364,0.20406097573810394,0.32311285872225665,0.2778638258026465,0.031616466685920046,0.1633458730510731
D-H4,1.780723748856436,0.6439543127215439,2.775926674684584,0.6392721530884619,45645.60999999999,1232431.4699999997,87186.73000000001,2354041.7100000004,247830.587,1968066.4261764707,36467.99,246158.9325,974618.945,1495154.0633522726,0.16892219966961775,0.32265477914745927,0.2697513962424644,0.03373957040079881,0.20493205453965968
D-H5,1.7751267819350718,0.7002861769025116,2.358882178252666,0.7002861769025116,50708.437000000005,1369127.799,90174.23000000001,2434704.2100000004,223921.49700000003,1778200.1232352944,32469.809999999998,219171.21749999997,822164.5449999999,1261275.1542613637,0.19385939344455494,0.3447379285646251,0.25178131476492427,0.03103318719851266,0.17858817602738297
L-N1,1.777677080481136,0.8217429856229022,1.869714133528226,0.809995005618679,45101.142,1217730.834,64379.06,1738234.6199999999,157707.359,1252381.9685294118,18151.98,122525.86499999999,501480.89499999996,769317.2821022727,0.23876183004823281,0.3408175824546745,0.24555591628017417,0.024023781724855885,0.1508408894920626
L-N10,1.6895946382945457,0.8018497188156379,2.0637159739563034,0.7810004619547284,43493.382000000005,1174321.3140000002,58531.36,1580346.72,146222.439,1161178.1920588238,17082.33,115305.72750000001,479802.80500000005,736061.1213068183,0.24633287741876253,0.3315032693487358,0.24357589514530986,0.0241872401525182,0.15440071793467366
L-N11,1.7618444798705821,0.6857325547727053,5.949154979238197,0.6761637382377083,34723.202,937526.4539999999,69684.96,1881493.9200000002,333215.799,2646125.462647059,18189.739999999998,122780.74499999998,1333999.025,2046475.7769886362,0.12280286130577225,0.24644940515503982,0.3466054496923233,0.01608256144125229,0.26805972240561227
L-N12,1.6612168527964215,0.6990925853031966,7.559751193006942,0.6942527080268693,32216.34,869841.18,73703.46,1989993.4200000002,347806.319,2761991.3567647063,15483.71,104515.0425,1543882.125,2368455.5326704546,0.10745683064031923,0.24583612597910076,0.3412057790295587,0.012911385985759223,0.2925898783652621
L-N2,1.754517395068262,0.7859559173317828,2.630162380239465,0.7632038187137503,51143.252,1380867.804,75080.76,2027180.5199999998,195190.87900000002,1550045.2155882355,18735.7,126465.975,595159.895,913029.384375,0.23023715484045626,0.3379992450550296,0.2584447253222344,0.021086135967382055,0.15223273881489768
L-N3,1.6936722542374865,0.6691173552407033,5.784703369151327,0.6649575767734683,42018.582,1134501.7140000002,81459.45999999999,2199405.42,368969.31899999996,2930050.4744117646,25611.68,172878.84,1600413.225,2455179.3792613638,0.1275865603465618,0.24734609818790018,0.3295147614664675,0.019442030170704172,0.2761105498283664
L-N4,1.7392126074901744,0.8240419127011693,2.3129401480234724,0.793870778840523,41069.452000000005,1108875.2040000001,56344.86,1521311.22,161127.689,1279543.412647059,20171.37,136156.7475,561373.605,861198.1440340909,0.2259743341360673,0.31002342618279716,0.2607542937456741,0.02774697300783465,0.1755009729276268
L-N5,1.7415810236923144,0.7554974168764075,4.61228857951426,0.7314320524535501,38879.872,1049756.544,92523.46,2498133.4200000004,356858.23899999994,2833874.2508823527,25971.279999999995,175306.13999999996,1415808.2249999999,2171978.5269886362,0.12026012893342793,0.28618621041156883,0.32464868615501885,0.020083074613556837,0.24882189988642764
