Source,Target,r,Weight
Bacterial 16S rRNA,S-Size-d(0.1),-0.9031785119810009,0.9643646129631448
Archaeal 16S rRNA,S-TN,0.8705603629399231,0.945195321713596
AOA_amoA,S-TN,0.9206565592736835,0.97349285267332
AOB_amoA,W-COD,-0.8547607615252732,0.9350222601690693
nxrA,S-Size-d(0.1),-0.9271083048276781,0.9766361389006963
nirK,S-Size-d(0.9),0.8713766270109935,0.9457059698030376
nirS,S-Size-d(0.1),-0.8157088757182073,0.9076992824079883
nosZ,BIX,0.9056133456459331,0.9656874093365794
nosZ,β:α,0.9210091159741964,0.9736679003373341
nosZ,Ⅲ-Area,-0.8213951382030298,0.9118581069227012
nosZ,W-NO_{3}^{-},-0.851788807192757,0.9330490544053945
norB,FI,0.8340565829764104,0.9209035467461059
norB,W-NH_{4}^{+},-0.8627983857848953,0.9402653048032631
hzsA,S-Size-d((0.9-0.1)/0.5),0.9334124461196042,0.9795808595718112
hzsA,FI,-0.8374233185573728,0.9232574490048061
hzsA,W-NH_{4}^{+},0.8998497471048955,0.962530507672714
hzsB,S-TN,-0.836527685902711,0.9226334010070705
hzsB,Ⅰ-Area,-0.9570590465490901,0.9893873437973364
hzsB,W-NO_{3}^{-},-0.8489391328554847,0.931139860217861
hzo,W-COD,0.8133378671306817,0.9059479514399704
nifH,S-TN,0.9255085268361617,0.9758687077996752
nifH,Ⅰ-Area,0.9277649129807073,0.9769487935043227
nifH,W-NO_{3}^{-},0.8104880716002016,0.9038297334791596
