Source,Target,r,Weight
Bacterial 16S rRNA,S-TP,0.8195890136363397,0.9105435073871545
Bacterial 16S rRNA,W-T,-0.860108412548027,0.9385259822404837
Archaeal 16S rRNA,W-pH,-0.9349926710040954,0.9802986236260911
Archaeal 16S rRNA,W-NO_{3}^{-},-0.8590647688145565,0.9378469747043678
AOA_amoA,S-TN,0.8381118401844265,0.9237361250844262
AOA_amoA,W-COD,0.9290148910731881,0.97754021294433
AOB_amoA,Ⅲ-Area,0.8602262927572074,0.9386025297934001
AOB_amoA,W-NO_{3}^{-},-0.9657414626166352,0.9924274407906514
AOB_amoA,W-COD,0.8227979004879629,0.9128749917616703
nxrA,W-pH,-0.9417114852621895,0.9832554175979726
nxrA,W-NO_{3}^{-},-0.8647600043294632,0.9415237738780065
narG,HIX,-0.9965117407759018,0.9997528164220504
narG,Ⅰ-Area,0.8322250583127098,0.9196138274218224
narG,Ⅲ-Area,-0.8726065732115933,0.946472566492573
narG,Ⅴ-Area,-0.828194373503759,0.916752992763851
narG,W-DO,-0.8722698745145872,0.9462630512875222
napA,HIX,-0.9949453788648323,0.999568940502805
napA,Ⅲ-Area,-0.875908573203366,0.9485135485660338
napA,Ⅴ-Area,-0.8554960190071915,0.9355075800300483
napA,W-DO,-0.8287337428797033,0.9171375997152222
nirK,S-TN,0.9004136969710588,0.9628433000001707
nirK,BIX,0.8940774393215312,0.9592813658816145
nirK,β:α,0.9350241954202709,0.980312857630771
nirK,Ⅳ-Area,-0.8169434809653137,0.9086072253178589
nirS,S-TN,-0.8251585477179588,0.9145780647308217
nirS,HIX,-0.8276686722944104,0.9163776053884375
nirS,Ⅰ-Area,0.8616420892051057,0.9395195651627295
nirS,Ⅳ-Area,0.8159480222888618,0.9078753676455685
nirS,W-DO,-0.9782191087610436,0.996153875611442
nirS,W-COD,-0.8466296794904593,0.9295804035289663
norB,β:α,0.8980539201147415,0.9615289078908388
norB,Ⅱ-Area,0.861630510551678,0.939512083008149
hzsA,β:α,0.8974160425363193,0.9611711175659247
hzsA,Ⅱ-Area,0.8624716566547646,0.9400548785901923
hzsB,Ⅲ-Area,-0.8468650619265533,0.9297398415411905
hzsB,W-pH,0.871035531419322,0.9454927661306569
hzsB,W-NO_{3}^{-},0.932794995260737,0.9792981499007596
hzo,Ⅲ-Area,0.9313992311093434,0.9786544570210891
hzo,Ⅴ-Area,0.93786826427707,0.9815831799861123
hzo,W-NO_{3}^{-},-0.8879075062343873,0.9557148225726458
nifH,W-pH,0.8746092479159211,0.9477134143613646
nifH,W-NO_{3}^{-},0.8559575251094822,0.935811624706514
