Source,Target,r,Weight
Bacterial 16S rRNA,W-TN,-0.9300179686777206,0.9780112031280328
Archaeal 16S rRNA,Ⅱ-Area,0.8228076310895658,0.9128820329849998
Archaeal 16S rRNA,Ⅲ-Area,0.9132319863119676,0.9697211993465669
Archaeal 16S rRNA,Ⅴ-Area,0.886721600251667,0.9550184913388355
Archaeal 16S rRNA,W-DO,0.8534326187319086,0.9341427249917157
AOA_amoA,S-Size-d(0.5),0.8361716556420763,0.9223848971477303
AOA_amoA,S-Size-d(0.9),0.8387415232754966,0.9241730834395993
AOA_amoA,W-pH,-0.8877074855765302,0.9555976176837223
AOB_amoA,BIX,-0.8163304335385078,0.908156726031526
AOB_amoA,β:α,-0.8527676284959649,0.933700965960448
AOB_amoA,W-NH_{4}^{+},-0.9618815892348291,0.9911174603728379
AOB_amoA,W-T,0.8304777180338473,0.9183774124537257
nxrA,Ⅲ-Area,0.9077036086720893,0.9668101577661655
nxrA,Ⅴ-Area,0.8467128149719594,0.9296367287790476
nxrA,W-DO,0.8720850011522163,0.9461479018792147
nxrA,W-NH_{4}^{+},-0.8603806966118994,0.9387027494527926
nxrA,W-T,0.8997507737813921,0.9624755263054526
narG,HIX,-0.8423115584305981,0.9266356908602578
narG,Ⅳ-Area,0.8615535811930014,0.9394623637075399
narG,W-COD,0.865150153095292,0.941773068912583
narG,W-T,-0.8390647839563532,0.9243971029937715
napA,S-TN,0.900539313154176,0.9629128584292951
napA,S-Size-d(0.9),0.806772629121989,0.9010466257751704
napA,HIX,-0.8847397570516456,0.9538471525204361
napA,Ⅰ-Area,0.8282646223970674,0.916803116017316
napA,Ⅳ-Area,0.8915000573905529,0.9578030840650944
napA,W-COD,0.9714145603296793,0.9942232949522967
nirK,W-TN,0.8138100958598232,0.9062975610715235
nosZ,S-Size-d(0.5),0.8125940816567045,0.9053964929067131
nosZ,S-Size-d(0.9),0.9484614580453317,0.9860637528330115
norB,S-TN,0.9387989368568578,0.9819928597364065
norB,HIX,-0.9261841380555553,0.9761937828959409
norB,Ⅰ-Area,0.9696060426148478,0.9936682350229495
norB,Ⅳ-Area,0.9136077909366956,0.9699159533337968
norB,W-COD,0.9347655758411766,0.980195986382046
hzsA,S-Size-d((0.9-0.1)/0.5),-0.9301617468724984,0.9780784484351965
hzsA,FI,0.8412090877940003,0.9258778968974501
hzsA,BIX,0.8909956913376673,0.95751184544715
hzsA,β:α,0.872931769717406,0.9466746794974576
hzsA,W-NO_{2}^{-},0.8282067651817198,0.916761835018478
hzsA,W-NO_{3}^{-},0.8631361517760724,0.9404825953214387
hzsB,FI,0.8398557962631455,0.9249444083199296
hzsB,BIX,0.892862361193768,0.9585865351237038
hzsB,β:α,0.9181381354988009,0.972231631519691
hzsB,W-NH_{4}^{+},0.9933328881122094,0.9993471616284966
hzo,S-Size-d((0.9-0.1)/0.5),-0.9750859711039301,0.9952970526417413
hzo,BIX,0.8243164724530362,0.913971739567702
hzo,β:α,0.8230638894216165,0.913067402884323
hzo,W-NO_{3}^{-},0.8185704445059594,0.909799512523805
nifH,Ⅱ-Area,-0.8452253962226866,0.9286268738076724
nifH,W-DO,-0.8957959553116215,0.9602576702338447
