Source,Target,r,Weight
Bacterial 16S rRNA,W-pH,0.7652125970863362,0.9730734490487094
Bacterial 16S rRNA,W-NO_{2}^{-},0.8697410634910034,0.9950003498166048
Bacterial 16S rRNA,W-COD,-0.6793442341056167,0.9361265590829398
Archaeal 16S rRNA,S-Size-d(0.1),0.8716686849962438,0.9952117979009762
Archaeal 16S rRNA,Ⅰ-Area,-0.7443103743815922,0.9658135873948916
Archaeal 16S rRNA,W-TN,-0.8116307374915186,0.9855620100974625
Archaeal 16S rRNA,W-NH_{4}^{+},-0.6260356252762469,0.9031815370061868
AOA_amoA,S-TN,-0.6462384738411232,0.9166075404389018
AOA_amoA,Ⅳ-Area,-0.7208296704888608,0.9563593276022726
AOA_amoA,W-T,0.7279758683197709,0.9593856335218245
AOB_amoA,S-TN,0.7066231444096585,0.9499477222930997
AOB_amoA,W-pH,0.8026496963676046,0.9835163151229218
AOB_amoA,W-NO_{2}^{-},0.7124355768988067,0.952635057635922
nxrA,S-Size-d(0.1),0.6928177148916488,0.9432042654356154
nxrA,BIX,-0.7989579233810343,0.9826256012844276
nxrA,HIX,0.8793481398881824,0.9959969457682819
nxrA,β:α,-0.7941875105350125,0.9814308531017539
nxrA,Ⅲ-Area,0.7000328095255813,0.9467922493544102
nxrA,Ⅴ-Area,0.7063116499859,0.9498011809241733
nxrA,W-NO_{3}^{-},0.818961802287231,0.9871074392198613
nxrA,W-NH_{4}^{+},-0.773794466751883,0.9757503942688124
narG,S-Size-d(0.1),-0.6563079943491525,0.9228682641792719
narG,FI,0.6468238693671504,0.9169793262784518
narG,W-TN,0.8254699361335374,0.9883882159100184
narG,W-NO_{3}^{-},-0.6265317444362977,0.9035251455916327
napA,S-TN,-0.8304046949141248,0.9893035550015229
napA,S-TP,-0.6278639287449996,0.9044443311939135
nirK,W-pH,0.7536661095128354,0.9691947304834242
nirK,W-DO,-0.665726369075389,0.9284669636355386
nirK,W-NO_{2}^{-},0.8624513263770686,0.9941467701714698
nirS,S-Size-d(0.9),0.6744556833582238,0.9334358177982855
nirS,S-Size-d((0.9-0.1)/0.5),0.6770890840756781,0.9348934532274664
nirS,W-NO_{2}^{-},-0.6931757418570159,0.9433856144792503
nirS,W-COD,0.8126398718946752,0.9857813019491892
nosZ,W-NO_{2}^{-},0.6319137367283831,0.907207558879788
hzsA,W-NO_{2}^{-},-0.6687411948336934,0.9302069092404689
hzsB,S-Size-d(0.1),0.6347980442070015,0.9091470787797632
hzsB,Ⅰ-Area,-0.8677650771571762,0.9947774686915042
hzsB,W-TN,-0.8791716254943266,0.9959799062101663
hzsB,W-NO_{3}^{-},0.7270659306620125,0.9590076036805185
hzo,Ⅳ-Area,0.8835340876945763,0.9963874974245727
hzo,W-pH,0.6813146199031842,0.93719253429091
hzo,W-T,-0.6284308307910225,0.9048339486707458
nifH,FI,-0.6785628302841902,0.9357008724565854
nifH,Ⅰ-Area,-0.650556558233223,0.9193272418061702
nifH,Ⅳ-Area,-0.6528683009414318,0.9207616934564418
nifH,W-TN,-0.8286758481445413,0.9889882813518664
nifH,W-NO_{3}^{-},0.6404295764972701,0.9128658164567639
