Source,Target,r,Weight
Bacterial 16S rRNA,S-TN,0.6378291490427135,0.9111598288051964
Bacterial 16S rRNA,S-TP,0.6444690125140438,0.9154778698000778
Bacterial 16S rRNA,W-COD,0.7609681836948905,0.9716849709252707
Archaeal 16S rRNA,S-TN,0.8502186859787237,0.99251477525224
Archaeal 16S rRNA,S-TP,0.9127294434066271,0.9984451983084152
Archaeal 16S rRNA,W-pH,-0.8723577667444988,0.9952859666232516
AOA_amoA,HIX,0.719448452757927,0.9557591560086103
AOA_amoA,Ⅲ-Area,0.7534228246253812,0.9691095329283529
AOA_amoA,Ⅴ-Area,0.7682309141391805,0.97403473785309
AOB_amoA,S-TN,-0.883135136560083,0.9963513846937339
AOB_amoA,S-TP,-0.8197930078283064,0.9872757453443707
AOB_amoA,S-Size-d(0.1),-0.6270175501265995,0.9038609303220303
AOB_amoA,W-pH,0.9657363991746104,0.9999020033497744
AOB_amoA,W-NO_{2}^{-},-0.7626078686893011,0.9722264690991208
AOB_amoA,W-T,-0.8281117553964532,0.9888841557662171
nxrA,S-TN,0.9703429795283794,0.9999362306200896
nxrA,S-TP,0.8282898935001552,0.9889171052089019
nxrA,W-pH,-0.9335013521641006,0.9993010232191207
nxrA,W-NO_{2}^{-},0.8412534779664425,0.9911517252788922
nxrA,W-T,0.6305694153032098,0.9062954956921914
narG,S-TN,0.7589048325913528,0.9709943783421813
narG,S-TP,0.8064612715803289,0.9844053139468875
narG,W-pH,-0.8994736279880888,0.9976479432643521
narG,W-T,0.6881478868917346,0.9408071125994661
napA,HIX,0.8450735564067448,0.9917502881732362
napA,Ⅰ-Area,-0.6902964013312143,0.9419173445677225
napA,Ⅲ-Area,0.924785650836579,0.9989953483927401
napA,Ⅴ-Area,0.8358994670775404,0.9902674169346325
napA,W-DO,0.715179114101919,0.9538725835113132
nirK,Ⅰ-Area,-0.6449534990412169,0.9157880579596096
nirK,W-TN,0.6738189181298495,0.933080487619145
nirK,W-NH_{4}^{+},-0.7952930387825815,0.9817121613092306
nirK,W-COD,-0.8203390440269168,0.9873855507046967
nirS,S-TN,-0.6380482714692809,0.9113043220636978
nirS,S-TP,-0.6803853079678832,0.936691103999855
nirS,W-pH,0.7990241149531642,0.9826418303264308
nirS,W-T,-0.6843050498001212,0.93879005064523
nosZ,FI,-0.6783067673257019,0.9355610119565487
norB,S-TP,0.6572490521625485,0.9234388164771001
norB,BIX,0.6394007780368297,0.9121931743788068
norB,β:α,0.6961888823384339,0.9448981384788154
norB,Ⅰ-Area,0.7275390148861721,0.9592044099685059
norB,Ⅱ-Area,0.792458347959012,0.9809854634762276
norB,Ⅳ-Area,0.8641486722037213,0.9943532502622506
norB,W-DO,-0.654301400261967,0.9216434007065654
hzsA,HIX,0.8412972905480358,0.9911587418701995
hzsA,Ⅰ-Area,-0.6872150166057144,0.94032115415157
hzsA,Ⅲ-Area,0.921908963654757,0.9988780999468401
hzsA,Ⅴ-Area,0.8314091682502742,0.9894840747205828
hzsA,W-DO,0.7115713314175063,0.9522411246603428
hzsB,S-TN,0.8681892487472642,0.9948258396135754
hzsB,S-TP,0.8453275435530168,0.9917891424700478
hzsB,S-Size-d(0.9),0.6351748749346565,0.9093987269970446
hzsB,W-pH,-0.7374502684336282,0.9631961184006779
hzsB,W-NO_{2}^{-},0.6452417558540838,0.9159722971490654
hzo,S-TN,0.8331117306344593,0.9897856196741905
hzo,S-TP,0.8548643616338556,0.9931648304799883
hzo,W-pH,-0.7346299703643251,0.962085682848927
hzo,W-COD,0.7202359788989925,0.9561019624357439
nifH,S-Size-d(0.5),0.6304430752002467,0.906209514861453
nifH,W-NO_{3}^{-},-0.7460220741272732,0.9664483584985172
