Source,Target,r,Weight
Bacterial 16S rRNA,S-Size-d(0.1),0.8166069853805997,0.9866230237765412
Bacterial 16S rRNA,S-Size-d(0.5),0.9004176823815309,0.9977119101349441
Bacterial 16S rRNA,S-Size-d((0.9-0.1)/0.5),-0.784249735824448,0.9787803680051198
Bacterial 16S rRNA,Ⅲ-Area,-0.7081830913139138,0.9506777224790945
Bacterial 16S rRNA,Ⅴ-Area,-0.6499115828697125,0.9189243480598699
Bacterial 16S rRNA,W-DO,-0.6481678371694943,0.917829225354579
Archaeal 16S rRNA,W-COD,-0.7993896869623187,0.982731291390057
Archaeal 16S rRNA,W-T,0.8364122839029701,0.9903544420497226
AOA_amoA,W-COD,-0.8037876083624725,0.9837849579732919
AOA_amoA,W-T,0.8394461873486962,0.990859194304486
AOB_amoA,Ⅱ-Area,0.7239389817755242,0.957692282025567
AOB_amoA,W-COD,-0.6428430779277593,0.9144320300346767
nxrA,S-TN,-0.6965729909556566,0.9450891942583269
narG,S-Size-d(0.1),0.8486855544221615,0.9922919221299135
narG,S-Size-d(0.5),0.7480917387082133,0.9672061715217758
narG,W-COD,0.7911060107778659,0.9806325296233963
narG,W-T,-0.764253790151007,0.9727635557723078
napA,S-Size-d(0.9),0.7419522092470694,0.9649271268587508
napA,S-Size-d((0.9-0.1)/0.5),0.6296195739207213,0.9056479662129872
napA,HIX,0.688499173365994,0.9409894946495171
napA,W-COD,0.6741714675624468,0.9332773567954564
napA,W-T,-0.8705966090268739,0.9950949223614909
nirK,W-TN,-0.6520761283732245,0.9202718373719742
nirK,W-COD,-0.7739507536859458,0.9757975435577617
nirK,W-T,0.7130890580691355,0.9529316168651744
nirS,W-DO,0.645622822174157,0.9162154952861903
nirS,W-NO_{2}^{-},0.7477668749012018,0.9670879231777014
nirS,W-NO_{3}^{-},0.7356909788440525,0.9625057950175315
nosZ,W-COD,-0.632541655601284,0.9076318113216614
norB,S-Size-d(0.5),0.7474530406179691,0.9669734417241662
norB,BIX,-0.6243727612485326,0.9020247233185548
norB,β:α,-0.6670953312958382,0.9292601603074172
norB,W-NO_{2}^{-},-0.6818469072376913,0.9374786762110061
norB,W-NO_{3}^{-},-0.8468478869374043,0.9920192848361642
hzsA,Ⅳ-Area,-0.6322956798460453,0.9074657518784931
hzsA,W-COD,0.7704759448011576,0.9747357869521005
hzsA,W-T,-0.6769498684101225,0.9348168727158395
hzsB,W-COD,-0.9073461626298158,0.9981471011837946
hzsB,W-T,0.9479979294437548,0.9996620068662034
hzo,S-TP,0.7129985402928593,0.9528906055863698
hzo,S-Size-d((0.9-0.1)/0.5),-0.6944650642408805,0.9440358193328857
hzo,HIX,-0.6497525753523913,0.9188248416327279
hzo,Ⅲ-Area,-0.8064838082748095,0.9844104785792431
hzo,Ⅴ-Area,-0.8061624410366536,0.984336730730894
nifH,W-COD,-0.6291822963119336,0.9053489993328439
nifH,W-T,0.835925422703745,0.9902718335339753
