Source,Target,r,Weight
Archaeal 16S rRNA,W-NO_{2}^{-},-0.646925875059624,0.9170440113603137
AOA_amoA,W-NO_{2}^{-},-0.6433271988347347,0.9147442096356101
AOB_amoA,S-Size-d(0.5),-0.7165999347396738,0.9545057151247294
AOB_amoA,S-Size-d(0.9),-0.6283427863697935,0.9047734980854079
AOB_amoA,HIX,0.6315170411822617,0.9069389535872137
AOB_amoA,Ⅰ-Area,-0.6745578463081168,0.9334927230624833
nxrA,S-Size-d(0.1),-0.745209209784153,0.9661478217637709
nxrA,FI,0.714342768962342,0.9534974273564241
nxrA,W-TN,-0.6653457059698362,0.9282454763508632
nxrA,W-COD,0.691498475454127,0.9425330492076505
narG,W-DO,0.8704968842742393,0.9950839584044223
nirK,W-NH_{4}^{+},-0.7211351379084497,0.9564913909277979
nosZ,S-TN,-0.7424707485673573,0.965123242359343
nosZ,W-T,-0.6651434311285562,0.928127619601014
norB,S-Size-d(0.1),0.6863141839265265,0.9398496384903451
norB,Ⅰ-Area,-0.7001534172907308,0.9468510381871172
hzsA,W-DO,0.7984074592797767,0.9824902688889827
hzsA,W-COD,-0.6226767078667151,0.900836681857058
hzsB,W-pH,0.6315659217296855,0.9069720751466803
hzo,S-Size-d(0.9),-0.6632919669856804,0.9270435611257737
hzo,S-Size-d((0.9-0.1)/0.5),-0.675247083562907,0.9338758797898906
hzo,W-TN,0.6303759109100981,0.906163787651108
nifH,W-DO,0.7109092524731325,0.9519380104488814
