Source,Target,r,Weight
Archaeal 16S rRNA,AOA_amoA,0.9998966770414239,1.0
Archaeal 16S rRNA,napA,0.45650338110616295,0.9245036156418261
Archaeal 16S rRNA,nirK,0.7834267797516902,0.9996693725465293
Archaeal 16S rRNA,nosZ,0.5856532928048552,0.9828595979271006
AOA_amoA,napA,0.46194629149862154,0.928357812522956
AOA_amoA,nirK,0.7842008291106846,0.9996768386489725
AOA_amoA,nosZ,0.5866042067683662,0.9830827598233067
AOB_amoA,napA,0.45152964138321067,0.9208523593508967
AOB_amoA,hzsA,-0.4564783977440302,0.9244855857191838
AOB_amoA,hzsB,-0.7938816030404968,0.9997590455090711
AOB_amoA,hzo,-0.4596082823903306,0.9267201770472159
AOB_amoA,nifH,-0.7052115787346548,0.9977225412322935
nxrA,narG,-0.449661531811255,0.919448608066842
nxrA,nifH,-0.43836788553106765,0.9105780839442918
narG,hzsA,0.7260214256665298,0.9985491470724475
narG,nifH,0.7953265247074344,0.9997696742660553
napA,nirK,0.6831666784233323,0.9964672632262009
napA,hzsB,-0.5005413319186611,0.9517016441537212
nirK,nosZ,0.5903575967822281,0.9839416371528414
nirS,hzo,0.673689171957327,0.9957797080531983
cnorB,hzo,-0.6198936574507754,0.9895759484784546
hzsA,hzsB,0.5444888916485684,0.970795903683836
hzsA,nifH,0.7655832852971808,0.9994533837587365
hzsB,hzo,0.5089084325756362,0.9559060184134271
hzsB,nifH,0.7786296758180782,0.9996198531111469
