Source,Target,r,Weight,
Bacterial 16S rRNA,S-TN,0.567687468,0.995278798,0.004721202
Bacterial 16S rRNA,W-NO_{2}^{-},0.456561704,0.971470541,0.028529459
Archaeal 16S rRNA,S-TP,0.377074747,0.923883911,0.076116089
Archaeal 16S rRNA,S-Size-d(0.5),0.39746787,0.939633989,0.060366011
Archaeal 16S rRNA,S-Size-d(0.9),0.386461778,0.931479281,0.068520719
Archaeal 16S rRNA,W-pH,-0.617740999,0.998315791,0.001684209
Archaeal 16S rRNA,W-TN,-0.386345609,0.931388955,0.068611045
Archaeal 16S rRNA,W-NH_{4}^{+},-0.44084661,0.964756103,0.035243897
AOA_amoA,S-Size-d(0.1),0.365594614,0.913750238,0.086249762
AOA_amoA,W-COD,0.404485665,0.944430621,0.055569379
AOB_amoA,W-COD,-0.698050974,0.999787463,0.000212537
nxrA,S-Size-d((0.9-0.1)/0.5),0.400508977,0.941750121,0.058249879
nxrA,HIX,0.434157369,0.961544325,0.038455675
nxrA,W-NO_{3}^{-},0.562233653,0.994767716,0.005232284
nxrA,W-T,0.378828768,0.925349358,0.074650642
narG,W-pH,-0.428726665,0.958771103,0.041228897
napA,â…?Area,0.414028336,0.95047478,0.04952522
napA,â…?Area,0.464088713,0.974302705,0.025697295
napA,W-NH_{4}^{+},-0.56619405,0.995143195,0.004856805
nirK,S-TN,0.439336045,0.964050042,0.035949958
nirK,W-pH,0.405128931,0.944855122,0.055144878
nirK,W-NO_{2}^{-},0.513193346,0.98773323,0.01226677
nirS,W-DO,0.448413098,0.968129564,0.031870436
nirS,W-NO_{2}^{-},-0.468169635,0.975741328,0.024258672
nirS,W-NH_{4}^{+},-0.672467474,0.999560655,0.000439345
cnorB,S-Size-d((0.9-0.1)/0.5),0.392727834,0.936218634,0.063781366
cnorB,W-COD,-0.830761429,0.999999078,9.22E-07
cnorB,W-T,0.413292888,0.950027964,0.049972036
hzsA,W-DO,0.485428448,0.981128078,0.018871922
hzsA,W-NH_{4}^{+},-0.645500464,0.999120228,0.000879772
hzsB,S-TP,0.367674092,0.915656811,0.084343189
hzsB,S-Size-d(0.9),0.371426396,0.919016966,0.080983034
hzsB,S-Size-d((0.9-0.1)/0.5),0.478157795,0.978991026,0.021008974
hzsB,â…?Area,0.459116292,0.972458347,0.027541653
hzsB,â…?Area,0.498422327,0.984507698,0.015492302
hzsB,â…?Area,0.530410196,0.990775955,0.009224045
hzsB,W-pH,-0.419200895,0.953530296,0.046469704
hzsB,W-DO,0.413750553,0.950306381,0.049693619
hzsB,W-NH_{4}^{+},-0.494608248,0.983571339,0.016428661
hzsB,W-COD,-0.411684535,0.949039918,0.050960082
hzo,S-Size-d(0.5),-0.382347068,0.928224367,0.071775633
hzo,S-Size-d(0.9),-0.415861237,0.951574848,0.048425152
hzo,â…?Area,-0.353193178,0.901704275,0.098295725
hzo,â…?Area,-0.476799659,0.978571008,0.021428992
hzo,â…?Area,-0.456209992,0.971332357,0.028667643
hzo,W-DO,-0.673318129,0.999570659,0.000429341
hzo,W-TN,0.415167128,0.951160516,0.048839484
hzo,W-NO_{2}^{-},0.480734211,0.979769558,0.020230442
hzo,W-NH_{4}^{+},0.521159126,0.989229807,0.010770193
nifH,S-Size-d(0.1),0.539121191,0.992059593,0.007940407
nifH,S-Size-d(0.5),0.358450198,0.906953793,0.093046207
nifH,S-Size-d(0.9),0.43788671,0.963362149,0.036637851
nifH,BIX,-0.469260668,0.976114784,0.023885216
nifH,Î²:Î±,-0.445529763,0.966875674,0.033124326
nifH,W-TN,-0.374180352,0.921418332,0.078581668
