Source,Target,r,Weight,
Bacterial 16S rRNA,S-TP,0.457991916,0.913980085,0.086019915
Archaeal 16S rRNA,S-TP,0.588265088,0.978928491,0.021071509
Archaeal 16S rRNA,W-TN,-0.488571094,0.935390766,0.064609234
Archaeal 16S rRNA,W-NH_{4}^{+},-0.482524736,0.931501634,0.068498366
AOA_amoA,W-pH,-0.678811985,0.994606211,0.005393789
AOA_amoA,W-COD,0.529696484,0.95772406,0.04227594
AOB_amoA,â…?Area,-0.452830927,0.909923984,0.090076016
narG,W-DO,-0.455633651,0.9121431,0.0878569
narG,W-T,-0.483112115,0.931886675,0.068113325
napA,â…?Area,0.479278412,0.92934522,0.07065478
nirK,W-pH,-0.63947869,0.989741793,0.010258207
nirK,W-TN,0.458136928,0.914092146,0.085907854
nosZ,W-pH,-0.60131125,0.982265635,0.017734365
cnorB,S-TN,0.599078211,0.981725393,0.018274607
cnorB,HIX,-0.576000445,0.975372723,0.024627277
cnorB,â…?Area,0.582520878,0.977315656,0.022684344
hzsA,FI,-0.455597658,0.91211485,0.08788515
hzsA,HIX,0.591159766,0.979707274,0.020292726
hzsA,â…?Area,0.471364198,0.923883967,0.076116033
hzsA,â…?Area,0.517457887,0.95179328,0.04820672
hzsA,W-DO,-0.453200848,0.910219122,0.089780878
hzsA,W-TN,-0.514707621,0.950380207,0.049619793
hzsA,W-NO_{2}^{-},-0.474110519,0.925812202,0.074187798
hzsA,W-NO_{3}^{-},-0.541598914,0.962954918,0.037045082
hzsA,W-NH_{4}^{+},-0.543488192,0.963738522,0.036261478
hzsA,W-T,-0.480439919,0.930122304,0.069877696
hzsB,â…?Area,-0.446965524,0.905152317,0.094847683
hzsB,â…?Area,-0.514417522,0.950229398,0.049770602
hzsB,W-DO,-0.507024398,0.946271152,0.053728848
hzsB,W-TN,-0.448923591,0.906764585,0.093235415
hzsB,W-NO_{3}^{-},-0.457608085,0.91368297,0.08631703
hzsB,W-T,-0.494374096,0.938970496,0.061029504
hzo,W-DO,0.474408621,0.926019375,0.073980625
hzo,W-COD,0.594340381,0.98053739,0.01946261
hzo,W-T,0.459582201,0.915203361,0.084796639
nifH,W-pH,-0.610375614,0.984333681,0.015666319
