Source,Target,r,Weight
Bacterial 16S rRNA,Archaeal 16S rRNA,0.508250353532289,0.9469429586273929
Bacterial 16S rRNA,hzo,-0.5470719030941379,0.9651907768827902
Archaeal 16S rRNA,AOB_amoA,0.5821264845823596,0.9772015680122075
Archaeal 16S rRNA,nxrA,0.5776057129125736,0.9758623646739312
AOA_amoA,nirK,0.7106856229853505,0.9970193156118524
AOA_amoA,hzsB,-0.6032778983214748,0.9827311899603639
AOB_amoA,nxrA,0.781801151358782,0.9994249693694771
AOB_amoA,narG,-0.6006065154273583,0.9820964807991176
nxrA,narG,-0.513933475064394,0.9499770146115463
narG,napA,0.6847675372484477,0.9951460351169861
narG,hzsB,0.6865320266290253,0.9952974579783032
napA,nosZ,0.5906274680510615,0.9795657439689425
napA,cnorB,0.7154948027272489,0.9972922810952699
nirK,nifH,0.6768215806293841,0.9944155859289092
nosZ,nifH,0.5126838384051982,0.9493210973616324
hzsA,hzsB,0.6101355560095525,0.9842814300394644
